stats_o/mean,test/success_rate,stats_o/std,stats_g/std,test/mean_Q,train/episode,train/success_rate,epoch,stats_g/mean,test/episode
0.26287135,1.0,0.030573446,0.08518851,-0.046373412,4400.0,0.75,219,0.8761744,4400.0
0.2628536,1.0,0.030581713,0.085220695,-0.06815128,4420.0,0.7,220,0.87609845,4420.0
0.2628454,1.0,0.030584807,0.085225575,-0.06696699,4440.0,0.7,221,0.8760676,4440.0
0.2628453,1.0,0.030583516,0.085223876,-0.07064881,4460.0,0.65,222,0.876064,4460.0
0.2628254,1.0,0.03059319,0.085267134,-0.10186108,4480.0,0.7,223,0.87599283,4480.0
0.26281804,1.0,0.030587535,0.0852496,-0.054741062,4500.0,0.8,224,0.87596565,4500.0
0.26281407,1.0,0.030584332,0.08523937,-0.08301208,4520.0,0.7,225,0.87594837,4520.0
0.2628068,1.0,0.03058802,0.085245706,-0.061427116,4540.0,0.7,226,0.87591463,4540.0
0.2628175,1.0,0.030590842,0.085252635,-0.07631197,4560.0,0.75,227,0.8759592,4560.0
0.26282394,1.0,0.030588884,0.08522951,-0.045709457,4580.0,0.7,228,0.8759768,4580.0
0.26281884,1.0,0.030581702,0.08520454,-0.017200466,4600.0,0.5,229,0.8759591,4600.0
0.2627971,1.0,0.030584466,0.085218586,-0.05047343,4620.0,0.85,230,0.87587196,4620.0
0.26278082,1.0,0.030580664,0.08521227,-0.059157204,4640.0,0.75,231,0.8758119,4640.0
0.26276872,1.0,0.030572388,0.08518211,-0.051738076,4660.0,0.65,232,0.87576514,4660.0
0.2627639,1.0,0.03057478,0.085196584,-0.09320803,4680.0,0.65,233,0.875747,4680.0
0.2627714,1.0,0.030580666,0.08521435,-0.06467482,4700.0,0.65,234,0.8757806,4700.0
0.2627768,1.0,0.030576825,0.085207164,-0.0707258,4720.0,0.8,235,0.8757944,4720.0
0.2627729,1.0,0.03056882,0.08517607,-0.034546565,4740.0,0.65,236,0.87578183,4740.0
0.26276213,1.0,0.030579323,0.085206114,-0.06755262,4760.0,0.7,237,0.87574214,4760.0
0.26275668,1.0,0.030573383,0.085194945,-0.05760318,4780.0,0.6,238,0.8757217,4780.0
0.2627503,1.0,0.030570552,0.085185684,-0.06806852,4800.0,0.8,239,0.87570435,4800.0
0.26272255,1.0,0.030571561,0.085190624,-0.055414893,4820.0,0.7,240,0.8756004,4820.0
0.2627439,1.0,0.030578142,0.08521064,-0.0660851,4840.0,0.65,241,0.87567806,4840.0
0.2627403,1.0,0.030573264,0.085200846,-0.041570246,4860.0,0.85,242,0.8756606,4860.0
0.262727,1.0,0.03056771,0.08518205,-0.03238027,4880.0,0.7,243,0.8756066,4880.0
0.26272795,1.0,0.030559173,0.085157454,-0.030382037,4900.0,0.8,244,0.8756085,4900.0
