test/episode,stats_g/std,stats_o/std,stats_o/mean,epoch,test/success_rate,train/episode,test/mean_Q,stats_g/mean,train/success_rate
2780.0,0.085019104,0.03049525,0.26281083,138,1.0,2780.0,-0.069388196,0.8752215,0.9
2800.0,0.08500794,0.030495143,0.26278418,139,1.0,2800.0,-0.039024867,0.87510514,0.8
2820.0,0.08505356,0.03050225,0.26273927,140,1.0,2820.0,-0.0768805,0.87493914,0.8
2840.0,0.08508739,0.030505175,0.26273367,141,1.0,2840.0,-0.05895585,0.87492234,0.8
2860.0,0.08511134,0.03050879,0.26274508,142,1.0,2860.0,-0.042331528,0.8749566,0.85
2880.0,0.08512759,0.030512262,0.2627489,143,1.0,2880.0,-0.06456292,0.8749657,0.75
2900.0,0.08512521,0.030513337,0.26275253,144,1.0,2900.0,-0.034602996,0.8749731,0.7
2920.0,0.08512118,0.030510385,0.26273343,145,1.0,2920.0,-0.06074602,0.8749116,0.8
2940.0,0.08517475,0.030521875,0.2627209,146,1.0,2940.0,-0.06525138,0.8748717,0.75
2960.0,0.08516166,0.03051742,0.26271743,147,1.0,2960.0,-0.06736444,0.87486154,0.65
2980.0,0.085202575,0.030526424,0.26274595,148,1.0,2980.0,-0.07192886,0.87496966,0.7
3000.0,0.08516642,0.030515805,0.2627395,149,1.0,3000.0,-0.075132735,0.87493414,0.75
3020.0,0.0852361,0.030529046,0.26275074,150,1.0,3020.0,-0.077324934,0.8749676,0.75
3040.0,0.085205786,0.030517925,0.26275146,151,1.0,3040.0,-0.062384557,0.8749731,0.8
3060.0,0.0852361,0.030526107,0.26277152,152,1.0,3060.0,-0.071100354,0.8750517,0.8
3080.0,0.08522288,0.030523349,0.26277655,153,1.0,3080.0,-0.05652814,0.8750617,0.8
3100.0,0.085236736,0.030534167,0.26277754,154,1.0,3100.0,-0.042159066,0.87505865,0.85
3120.0,0.085290514,0.030545533,0.26279247,155,1.0,3120.0,-0.07374052,0.8751304,0.85
3140.0,0.08531248,0.030554855,0.26278016,156,1.0,3140.0,-0.07477476,0.8751023,0.75
3160.0,0.08531892,0.03055943,0.26278338,157,1.0,3160.0,-0.04758831,0.8751177,0.65
3180.0,0.08535855,0.030570298,0.26280174,158,1.0,3180.0,-0.073152974,0.87517214,0.9
3200.0,0.08540977,0.030583192,0.2627967,159,1.0,3200.0,-0.07920998,0.8751395,0.85
3220.0,0.08539957,0.030585125,0.26278612,160,1.0,3220.0,-0.0481763,0.8751099,0.75
3240.0,0.08541527,0.030596394,0.2628033,161,1.0,3240.0,-0.046222318,0.87517184,0.6
3260.0,0.08543161,0.030599138,0.26279873,162,1.0,3260.0,-0.04625573,0.87516516,0.5
3280.0,0.085443944,0.030601915,0.26282734,163,1.0,3280.0,-0.069040045,0.8752966,0.8
3300.0,0.08545943,0.030604118,0.26283658,164,1.0,3300.0,-0.07518397,0.87532216,0.95
3320.0,0.085420586,0.030587476,0.2628595,165,1.0,3320.0,-0.061445434,0.87540334,0.8
3340.0,0.085445136,0.030593893,0.2628793,166,1.0,3340.0,-0.05522182,0.8754804,0.85
3360.0,0.08546087,0.030597758,0.26286888,167,1.0,3360.0,-0.07376509,0.87542826,0.55
3380.0,0.08544523,0.030592889,0.26285285,168,1.0,3380.0,-0.046033986,0.8753912,0.65
3400.0,0.08546221,0.030597001,0.26285094,169,1.0,3400.0,-0.034729954,0.8753943,0.85
3420.0,0.08549573,0.030602444,0.26284748,170,1.0,3420.0,-0.096519634,0.87539387,0.6
3440.0,0.085504085,0.03060562,0.26285744,171,1.0,3440.0,-0.059362672,0.87543696,0.75
3460.0,0.08549255,0.030597309,0.26285875,172,1.0,3460.0,-0.025091369,0.8754342,0.7
3480.0,0.085544646,0.03061023,0.2628148,173,1.0,3480.0,-0.06521274,0.8752589,0.8
3500.0,0.08553592,0.030608108,0.26283962,174,1.0,3500.0,-0.062135518,0.8753412,0.85
3520.0,0.08549515,0.03059932,0.2628538,175,1.0,3520.0,-0.029586133,0.87538356,0.7
3540.0,0.08556428,0.030620107,0.26285225,176,1.0,3540.0,-0.07742058,0.8753881,0.8
3560.0,0.08560595,0.030631881,0.26287767,177,1.0,3560.0,-0.044055678,0.8754813,0.55
