test/success_rate,epoch,stats_o/mean,train/episode,stats_g/std,stats_g/mean,test/mean_Q,train/success_rate,test/episode,stats_o/std
1.0,173,0.26255795,3480.0,0.086203136,0.875585,-0.3151154,0.85,3480.0,0.0304371
1.0,174,0.26257163,3500.0,0.08619517,0.87564343,-0.20500772,0.8,3500.0,0.030438427
1.0,175,0.26258337,3520.0,0.08615196,0.8756848,-0.12505889,0.7,3520.0,0.030432422
1.0,176,0.2625852,3540.0,0.08621014,0.87568825,-0.26700622,0.65,3540.0,0.030445993
1.0,177,0.26260948,3560.0,0.08625957,0.8757865,-0.21821716,0.8,3560.0,0.030453403
1.0,178,0.26261872,3580.0,0.08625073,0.8758351,-0.15911452,0.7,3580.0,0.030449554
1.0,179,0.26262686,3600.0,0.086286604,0.87586194,-0.22890067,0.9,3600.0,0.030459136
1.0,180,0.26265162,3620.0,0.08633032,0.8759497,-0.20840856,0.9,3620.0,0.03046834
1.0,181,0.26265746,3640.0,0.08633613,0.87597704,-0.1268458,0.7,3640.0,0.030471096
1.0,182,0.2626335,3660.0,0.08639089,0.8758829,-0.2544596,0.8,3660.0,0.030487007
1.0,183,0.26260644,3680.0,0.08636349,0.87576675,-0.1463994,0.85,3680.0,0.030480495
1.0,184,0.26261294,3700.0,0.086308874,0.87577647,-0.11536602,0.8,3700.0,0.030467827
1.0,185,0.26261985,3720.0,0.0862959,0.8757987,-0.11360644,0.75,3720.0,0.0304654
1.0,186,0.2625975,3740.0,0.086297266,0.87571067,-0.16047998,0.85,3740.0,0.030464824
1.0,187,0.26259708,3760.0,0.08629826,0.87571067,-0.17178646,0.75,3760.0,0.030466586
1.0,188,0.2625987,3780.0,0.08625237,0.8757146,-0.11136796,0.75,3780.0,0.030450577
1.0,189,0.26263374,3800.0,0.08628497,0.8758362,-0.16263351,0.7,3800.0,0.030467581
1.0,190,0.26262206,3820.0,0.08628451,0.87578267,-0.20384073,0.85,3820.0,0.030468885
1.0,191,0.26262188,3840.0,0.08623374,0.8757837,-0.088540986,0.8,3840.0,0.030458158
1.0,192,0.26262486,3860.0,0.086188175,0.8757792,-0.09659773,0.8,3860.0,0.030445665
1.0,193,0.26261008,3880.0,0.08621576,0.87570685,-0.17238948,0.85,3880.0,0.030455628
1.0,194,0.26260448,3900.0,0.08619491,0.87565714,-0.09388149,0.8,3900.0,0.030450147
1.0,195,0.2625676,3920.0,0.08621422,0.87553024,-0.14951636,0.8,3920.0,0.0304555
1.0,196,0.26255345,3940.0,0.086212,0.8754897,-0.09526937,0.8,3940.0,0.030453678
1.0,197,0.26256496,3960.0,0.08621317,0.8755305,-0.14834373,0.85,3960.0,0.03045896
1.0,198,0.2625495,3980.0,0.08618331,0.8754649,-0.08476296,0.75,3980.0,0.030453727
1.0,199,0.26255876,4000.0,0.08617976,0.8754961,-0.15548328,0.85,4000.0,0.03045692
1.0,200,0.26253232,4020.0,0.08619847,0.87538606,-0.13027288,0.8,4020.0,0.030461272
1.0,201,0.262558,4040.0,0.086206354,0.8754792,-0.0811834,0.8,4040.0,0.030469168
1.0,202,0.262539,4060.0,0.08617998,0.8754037,-0.084634505,0.7,4060.0,0.030466903
1.0,203,0.26255953,4080.0,0.08616251,0.87549335,-0.12725575,0.9,4080.0,0.030463463
1.0,204,0.26255754,4100.0,0.08619065,0.87548727,-0.16074182,0.65,4100.0,0.030474657
1.0,205,0.26256636,4120.0,0.086170964,0.8755196,-0.10828259,0.8,4120.0,0.030468663
1.0,206,0.26258284,4140.0,0.08615998,0.8756027,-0.14740743,0.65,4140.0,0.030466074
1.0,207,0.26258686,4160.0,0.08615887,0.87559885,-0.13979341,0.7,4160.0,0.03046674
1.0,208,0.2625884,4180.0,0.08614061,0.87560254,-0.083269015,0.8,4180.0,0.030458936
1.0,209,0.26258582,4200.0,0.08616257,0.8755839,-0.16921994,0.85,4200.0,0.030463552
1.0,210,0.2625855,4220.0,0.08619297,0.8755732,-0.18274036,0.9,4220.0,0.030472526
