stats_g/std,train/success_rate,train/episode,test/success_rate,test/episode,stats_o/mean,stats_g/mean,test/mean_Q,stats_o/std,epoch
0.06837725,0.92,10900.0,0.95,2180.0,0.19940485,0.8369446,-2.6082542,0.09761828,108
0.06840392,0.93,11000.0,1.0,2200.0,0.19940002,0.8369706,-1.9467351,0.097713806,109
0.06842694,0.91,11100.0,1.0,2220.0,0.19942264,0.8370161,-1.9529654,0.097901374,110
0.06847205,0.89,11200.0,1.0,2240.0,0.199415,0.83703977,-1.9259503,0.09804694,111
0.06847777,0.91,11300.0,0.95,2260.0,0.19941182,0.8370561,-1.4862158,0.098253086,112
0.0684289,0.94,11400.0,1.0,2280.0,0.19937359,0.8370262,-1.2491117,0.09832265,113
0.068378516,0.96,11500.0,1.0,2300.0,0.19934662,0.83704823,-1.7609637,0.09839695,114
0.06842441,0.95,11600.0,1.0,2320.0,0.19934791,0.8370762,-1.580901,0.098609656,115
0.06837668,0.94,11700.0,1.0,2340.0,0.19928864,0.83704376,-1.1832458,0.09882715,116
0.068326645,0.94,11800.0,1.0,2360.0,0.19929047,0.8370096,-1.325621,0.09895826,117
0.06834193,0.93,11900.0,1.0,2380.0,0.19922286,0.83699435,-1.4960129,0.09912392,118
0.06835171,0.94,12000.0,0.95,2400.0,0.19927406,0.8369899,-2.2966332,0.09933532,119
0.06830124,0.94,12100.0,0.95,2420.0,0.1992798,0.83698535,-1.832304,0.09938645,120
0.06827996,0.93,12200.0,1.0,2440.0,0.19929872,0.83699346,-1.2208183,0.099544495,121
0.068332426,0.95,12300.0,1.0,2460.0,0.19931042,0.8370097,-1.5719465,0.09967843,122
0.068296716,0.93,12400.0,1.0,2480.0,0.19931751,0.83708143,-1.4726245,0.099686794,123
0.06834272,0.95,12500.0,1.0,2500.0,0.19930996,0.83710146,-1.0877388,0.09979901,124
0.06833865,0.94,12600.0,1.0,2520.0,0.19928499,0.83709556,-1.2820629,0.099941075,125
0.06829078,0.93,12700.0,1.0,2540.0,0.19930586,0.83711004,-2.2926512,0.09999408,126
0.068248875,0.88,12800.0,0.95,2560.0,0.19932392,0.83710694,-3.044293,0.10011353,127
0.06825207,0.95,12900.0,1.0,2580.0,0.19927052,0.8371134,-1.4150321,0.10035701,128
0.068199016,0.95,13000.0,1.0,2600.0,0.1992535,0.83710486,-1.1963465,0.100354254,129
0.06816787,0.97,13100.0,1.0,2620.0,0.19926219,0.8371389,-1.5624561,0.10037873,130
0.068230875,0.94,13200.0,0.95,2640.0,0.19925962,0.8371384,-1.1711462,0.10055499,131
0.06817227,0.97,13300.0,0.95,2660.0,0.19926652,0.83712626,-1.2656155,0.10056169,132
0.06810206,0.96,13400.0,0.95,2680.0,0.19929336,0.8371887,-1.5031216,0.1005683,133
0.06805018,0.97,13500.0,0.95,2700.0,0.19928573,0.8372013,-1.7687927,0.100693524,134
0.06799368,0.96,13600.0,1.0,2720.0,0.19931643,0.8372131,-1.1562803,0.100818545,135
0.06793584,0.98,13700.0,1.0,2740.0,0.19930308,0.8372535,-1.3858082,0.100849584,136
0.06796915,0.89,13800.0,1.0,2760.0,0.19928215,0.8373063,-1.1760806,0.10104991,137
0.0679479,0.93,13900.0,1.0,2780.0,0.19929361,0.83734745,-1.3453677,0.10116801,138
0.06793388,0.96,14000.0,1.0,2800.0,0.19932012,0.8373768,-1.2506491,0.10111302,139
0.06791959,0.95,14100.0,0.95,2820.0,0.19934364,0.83739394,-2.7645895,0.10117446,140
0.067960374,0.93,14200.0,1.0,2840.0,0.19935274,0.837405,-1.0346378,0.10133874,141
0.06791482,0.97,14300.0,1.0,2860.0,0.19934654,0.8373993,-1.5842202,0.10143055,142
0.06786642,0.95,14400.0,1.0,2880.0,0.1993774,0.83740634,-1.0934842,0.10155343,143
0.06780298,0.95,14500.0,1.0,2900.0,0.1994152,0.8373775,-1.1028515,0.1016891,144
0.067819305,0.94,14600.0,0.95,2920.0,0.19941397,0.8373813,-2.321272,0.10170546,145
0.06787483,0.91,14700.0,1.0,2940.0,0.19941655,0.8374098,-1.3488896,0.10195043,146
0.0678582,0.9,14800.0,1.0,2960.0,0.19943449,0.83745676,-1.3623861,0.10206393,147
