train/success_rate,epoch,stats_g/mean,test/mean_Q,stats_o/std,stats_o/mean,stats_g/std,test/success_rate,test/episode,train/episode
0.0,151,0.85158086,-44.93741,0.07377781,0.17655326,0.118773185,0.0,3040.0,15200.0
0.01,152,0.85154563,-43.860855,0.07375635,0.17654055,0.11876106,0.0,3060.0,15300.0
0.0,153,0.8515322,-39.13684,0.07375164,0.17654291,0.11874453,0.0,3080.0,15400.0
0.0,154,0.85155815,-43.662178,0.07374626,0.17653392,0.118758135,0.0,3100.0,15500.0
0.0,155,0.8516235,-42.57752,0.073644914,0.176553,0.118735224,0.0,3120.0,15600.0
0.0,156,0.85161346,-43.24868,0.07360161,0.17658879,0.11871562,0.0,3140.0,15700.0
0.0,157,0.85151654,-43.99522,0.07361863,0.17657961,0.11869955,0.0,3160.0,15800.0
0.0,158,0.85153127,-39.776623,0.07358533,0.17656673,0.11867701,0.0,3180.0,15900.0
0.01,159,0.85164064,-43.339943,0.0736064,0.17655708,0.11866081,0.0,3200.0,16000.0
0.01,160,0.85163826,-43.673004,0.0735888,0.17656757,0.11866731,0.0,3220.0,16100.0
0.01,161,0.8516963,-44.930473,0.07354862,0.17655702,0.11869817,0.0,3240.0,16200.0
0.01,162,0.8517375,-44.51239,0.07357414,0.17657383,0.11867776,0.05,3260.0,16300.0
0.0,163,0.85173804,-43.27314,0.07361293,0.17656559,0.11865226,0.0,3280.0,16400.0
0.01,164,0.85179067,-45.628403,0.073708385,0.1765263,0.118675254,0.0,3300.0,16500.0
0.01,165,0.85179377,-44.84864,0.07374844,0.17653097,0.11865399,0.0,3320.0,16600.0
0.0,166,0.8517763,-45.793083,0.07374722,0.17651571,0.11866647,0.0,3340.0,16700.0
0.0,167,0.8517885,-46.37348,0.073838465,0.17652513,0.11864922,0.0,3360.0,16800.0
0.0,168,0.8517618,-44.61666,0.07377962,0.17655037,0.1186335,0.0,3380.0,16900.0
0.0,169,0.851789,-44.650433,0.0737492,0.1765412,0.118650496,0.0,3400.0,17000.0
0.0,170,0.8518135,-44.70742,0.07367527,0.17655726,0.1186476,0.0,3420.0,17100.0
0.01,171,0.8518309,-46.51069,0.07372748,0.1765904,0.118682764,0.0,3440.0,17200.0
0.0,172,0.85186595,-45.814983,0.07369229,0.17657967,0.11869957,0.0,3460.0,17300.0
