test/success_rate,train/success_rate,stats_o/mean,train/episode,stats_g/mean,test/episode,test/mean_Q,stats_g/std,epoch,stats_o/std
0.95,0.95,0.20170414,25900.0,0.8366127,5180.0,-1.6369131,0.07422994,258,0.113840036
1.0,0.96,0.20170559,26000.0,0.8366511,5200.0,-1.2610618,0.074196614,259,0.11380489
1.0,0.94,0.20172547,26100.0,0.83665603,5220.0,-1.2908533,0.07421283,260,0.113804504
1.0,0.96,0.20173739,26200.0,0.83663815,5240.0,-1.3271245,0.07417388,261,0.113880396
1.0,0.94,0.20172243,26300.0,0.8366242,5260.0,-0.93596566,0.07413259,262,0.11387212
1.0,0.93,0.20174727,26400.0,0.836597,5280.0,-1.1620735,0.07413019,263,0.11393861
1.0,0.97,0.20175825,26500.0,0.8366254,5300.0,-0.95704174,0.07409761,264,0.11396882
1.0,0.97,0.20179516,26600.0,0.83664805,5320.0,-1.2054179,0.07408059,265,0.113974266
1.0,0.94,0.20181936,26700.0,0.8366397,5340.0,-1.2377279,0.07407211,266,0.11399066
1.0,0.97,0.2018379,26800.0,0.83664197,5360.0,-0.9882862,0.07403456,267,0.113977306
1.0,0.93,0.20185,26900.0,0.83666825,5380.0,-1.2045704,0.07402342,268,0.113999635
0.95,0.96,0.20183867,27000.0,0.83666825,5400.0,-1.1478784,0.07401205,269,0.11401649
1.0,0.96,0.20184083,27100.0,0.8366718,5420.0,-1.3623558,0.07397991,270,0.114048034
1.0,0.92,0.20186402,27200.0,0.8366794,5440.0,-1.2743368,0.073972724,271,0.11408683
1.0,0.94,0.20188755,27300.0,0.83670765,5460.0,-1.1949898,0.073945574,272,0.114085644
