train/success_rate,stats_g/std,test/success_rate,stats_o/std,test/episode,stats_g/mean,test/mean_Q,stats_o/mean,train/episode,epoch
0.94,0.06718537,1.0,0.095220044,2380.0,0.838356,-1.0936594,0.20138207,11900.0,118
0.95,0.06713656,1.0,0.09523759,2400.0,0.8383355,-1.1832489,0.2014065,12000.0,119
0.93,0.06713151,1.0,0.095364906,2420.0,0.8383248,-1.4054025,0.2013612,12100.0,120
0.96,0.06706549,1.0,0.095581606,2440.0,0.83831406,-1.0608224,0.20132229,12200.0,121
0.94,0.06711342,1.0,0.09558757,2460.0,0.83831495,-1.1501257,0.20131104,12300.0,122
0.94,0.067187354,1.0,0.09570828,2480.0,0.83836657,-1.3871012,0.20131119,12400.0,123
0.93,0.06720768,0.95,0.09581042,2500.0,0.838377,-1.324125,0.20130861,12500.0,124
1.0,0.06714765,0.95,0.09585271,2520.0,0.83835953,-1.0953699,0.20131497,12600.0,125
1.0,0.06710879,1.0,0.09592595,2540.0,0.8383607,-1.3910812,0.20131968,12700.0,126
0.95,0.06715421,1.0,0.0959978,2560.0,0.8383574,-1.5265232,0.20131221,12800.0,127
0.98,0.06710834,1.0,0.096064046,2580.0,0.83836293,-1.2171243,0.2013182,12900.0,128
0.92,0.06706026,1.0,0.09621654,2600.0,0.8383384,-0.9390068,0.20131302,13000.0,129
1.0,0.06702786,1.0,0.09616021,2620.0,0.83835816,-1.1758635,0.20132549,13100.0,130
0.98,0.06703595,1.0,0.096220754,2640.0,0.83835036,-0.78996783,0.20130533,13200.0,131
0.98,0.06698135,1.0,0.09629195,2660.0,0.8383313,-1.1100783,0.20133992,13300.0,132
0.95,0.06692594,1.0,0.096472524,2680.0,0.83838004,-1.2465374,0.20136677,13400.0,133
0.96,0.066882215,1.0,0.09659715,2700.0,0.83837134,-0.8389157,0.20138654,13500.0,134
0.98,0.06682993,1.0,0.09667983,2720.0,0.8383755,-0.92503226,0.20138155,13600.0,135
0.94,0.06680506,1.0,0.09683787,2740.0,0.83839935,-1.0679353,0.20141444,13700.0,136
0.93,0.06681048,1.0,0.0969065,2760.0,0.8384307,-1.0214632,0.2014328,13800.0,137
0.92,0.066789255,1.0,0.096981555,2780.0,0.83845854,-1.2237787,0.2014267,13900.0,138
0.97,0.06675443,0.95,0.096980445,2800.0,0.8384792,-1.3601097,0.20139712,14000.0,139
0.97,0.06674045,1.0,0.0970572,2820.0,0.83849597,-1.4538796,0.20139423,14100.0,140
0.95,0.06678164,1.0,0.09714846,2840.0,0.8384914,-1.0125691,0.2013763,14200.0,141
0.95,0.06675125,1.0,0.09721309,2860.0,0.8384798,-1.2428281,0.20138358,14300.0,142
0.95,0.06670346,1.0,0.09740777,2880.0,0.83847743,-1.1138523,0.20140739,14400.0,143
0.97,0.06664699,1.0,0.09741449,2900.0,0.8384349,-1.1345308,0.20142302,14500.0,144
0.95,0.06667405,1.0,0.0975588,2920.0,0.83843404,-1.5172899,0.20143434,14600.0,145
0.95,0.06667296,1.0,0.09772557,2940.0,0.8384476,-1.1401508,0.20145553,14700.0,146
0.96,0.06668748,1.0,0.0978321,2960.0,0.83849615,-1.4343596,0.20146678,14800.0,147
0.92,0.06668081,1.0,0.09789882,2980.0,0.8384922,-1.1601636,0.20147802,14900.0,148
0.96,0.066656075,1.0,0.097943924,3000.0,0.83849096,-1.2279923,0.20150761,15000.0,149
0.94,0.06665361,1.0,0.097997084,3020.0,0.8384812,-1.0779108,0.201504,15100.0,150
0.98,0.0666176,1.0,0.09806569,3040.0,0.8385388,-0.8484379,0.20151354,15200.0,151
0.95,0.06661871,1.0,0.098070785,3060.0,0.8385311,-0.99093246,0.20151077,15300.0,152
0.99,0.06658769,1.0,0.098101646,3080.0,0.8385162,-0.8695172,0.20151576,15400.0,153
0.98,0.06654096,1.0,0.098127335,3100.0,0.8385171,-1.2425152,0.2015141,15500.0,154
0.99,0.0665012,1.0,0.09810981,3120.0,0.83855754,-1.0573138,0.2015333,15600.0,155
0.96,0.06647335,1.0,0.0981154,3140.0,0.8385388,-1.2717931,0.20155762,15700.0,156
0.95,0.066472106,0.95,0.09830406,3160.0,0.83855325,-0.9828019,0.20156515,15800.0,157
0.94,0.066430435,1.0,0.09832835,3180.0,0.8385442,-1.0047512,0.20156178,15900.0,158
0.94,0.06642054,1.0,0.098432854,3200.0,0.83854914,-1.2158871,0.20154007,16000.0,159
0.91,0.06648331,0.95,0.09854321,3220.0,0.83855104,-3.5463173,0.20154917,16100.0,160
0.97,0.06646123,1.0,0.098510884,3240.0,0.83855677,-0.8394039,0.20155443,16200.0,161
0.94,0.0664145,1.0,0.098543264,3260.0,0.83855754,-1.1462742,0.20153378,16300.0,162
0.94,0.06642083,1.0,0.09865315,3280.0,0.8385489,-0.89102936,0.20153357,16400.0,163
0.98,0.066404484,1.0,0.09875665,3300.0,0.838567,-0.97416174,0.20157127,16500.0,164
0.98,0.066433206,1.0,0.0987994,3320.0,0.8385758,-0.87958896,0.20157862,16600.0,165
0.96,0.066385955,1.0,0.098807305,3340.0,0.83856493,-1.1308893,0.2015786,16700.0,166
0.9,0.06639189,1.0,0.09885546,3360.0,0.83861923,-1.340019,0.20160533,16800.0,167
0.92,0.06638947,1.0,0.098853156,3380.0,0.83860517,-1.2321012,0.20160306,16900.0,168
0.97,0.066342086,1.0,0.09890256,3400.0,0.83860904,-1.0619078,0.20159155,17000.0,169
0.94,0.06635944,1.0,0.09897853,3420.0,0.83858675,-1.2141722,0.20158985,17100.0,170
0.95,0.06636604,1.0,0.09906567,3440.0,0.8386232,-1.21889,0.20162342,17200.0,171
0.95,0.06632133,0.95,0.0991921,3460.0,0.83861804,-1.6227272,0.20160002,17300.0,172
0.94,0.06634486,1.0,0.099301375,3480.0,0.83862215,-1.0099132,0.20156929,17400.0,173
0.98,0.06631126,1.0,0.099333085,3500.0,0.8386342,-1.0542127,0.2015539,17500.0,174
0.97,0.06628255,1.0,0.09936734,3520.0,0.8386357,-0.86705124,0.20156825,17600.0,175
0.97,0.066244446,1.0,0.099381596,3540.0,0.83870226,-1.0664129,0.20159811,17700.0,176
0.93,0.0662423,0.95,0.09949718,3560.0,0.838702,-1.0750287,0.20158094,17800.0,177
0.94,0.06625062,1.0,0.09947633,3580.0,0.8387186,-1.2751131,0.20157057,17900.0,178
0.98,0.06621703,1.0,0.099574655,3600.0,0.838697,-1.2904717,0.2015361,18000.0,179
0.92,0.06622134,1.0,0.099623986,3620.0,0.8386881,-1.0141923,0.201574,18100.0,180
0.95,0.066227764,1.0,0.09965896,3640.0,0.8386858,-1.0278379,0.20155832,18200.0,181
0.96,0.0661836,1.0,0.09966855,3660.0,0.8386552,-1.3924963,0.20155793,18300.0,182
0.96,0.0661408,1.0,0.099662684,3680.0,0.83871293,-1.1146605,0.20158155,18400.0,183
0.96,0.066096224,1.0,0.09964353,3700.0,0.83867985,-1.0370836,0.20158425,18500.0,184
0.91,0.06610986,1.0,0.099666096,3720.0,0.83869344,-1.1429046,0.20158228,18600.0,185
0.96,0.066122554,1.0,0.09977197,3740.0,0.8386496,-0.9524763,0.20157823,18700.0,186
0.93,0.066160955,0.95,0.09978292,3760.0,0.83869433,-1.422065,0.20157582,18800.0,187
0.92,0.06620017,1.0,0.09982375,3780.0,0.8386981,-1.4474499,0.20154415,18900.0,188
0.96,0.06619194,1.0,0.09987743,3800.0,0.83867335,-1.0717915,0.20157121,19000.0,189
0.96,0.06617696,1.0,0.09984777,3820.0,0.8386741,-1.0479934,0.20157623,19100.0,190
0.94,0.066162564,1.0,0.09985012,3840.0,0.83865404,-1.185745,0.20156957,19200.0,191
0.95,0.06613654,1.0,0.09995938,3860.0,0.83865947,-0.9889418,0.20158947,19300.0,192
0.96,0.0661529,1.0,0.09998742,3880.0,0.83862853,-0.9253852,0.20157734,19400.0,193
0.97,0.06618908,1.0,0.09999289,3900.0,0.8386057,-1.2095355,0.20158538,19500.0,194
0.95,0.06622242,1.0,0.10005782,3920.0,0.8385957,-1.1065948,0.20157367,19600.0,195
0.97,0.0661908,1.0,0.10004845,3940.0,0.8385729,-0.9691761,0.20158146,19700.0,196
0.95,0.06616107,1.0,0.10005858,3960.0,0.83856183,-1.0374358,0.20157827,19800.0,197
0.97,0.06613356,1.0,0.10006871,3980.0,0.8385484,-1.0926138,0.20157324,19900.0,198
0.92,0.06611481,1.0,0.100064576,4000.0,0.83855444,-1.1631663,0.20158724,20000.0,199
0.98,0.0661035,1.0,0.10003649,4020.0,0.8385199,-1.0262203,0.20157142,20100.0,200
0.99,0.06607052,1.0,0.10005031,4040.0,0.83852273,-0.8778509,0.20156245,20200.0,201
0.99,0.0660562,1.0,0.10011998,4060.0,0.8385236,-1.2485969,0.20154771,20300.0,202
0.96,0.066065565,1.0,0.10016997,4080.0,0.83851767,-1.0595568,0.20153885,20400.0,203
0.93,0.06609145,1.0,0.10022135,4100.0,0.8385119,-1.1921397,0.20153698,20500.0,204
0.93,0.06609111,1.0,0.1002546,4120.0,0.83852434,-1.0308881,0.20154217,20600.0,205
0.99,0.066055626,1.0,0.10022535,4140.0,0.8385329,-1.1892518,0.2015464,20700.0,206
0.92,0.06602486,1.0,0.1002183,4160.0,0.83852863,-1.0791693,0.2015551,20800.0,207
0.96,0.06599988,1.0,0.10024149,4180.0,0.8385604,-1.0426304,0.20155397,20900.0,208
0.95,0.06601178,1.0,0.10030131,4200.0,0.83856493,-1.14837,0.20156732,21000.0,209
0.9,0.065999374,1.0,0.10035904,4220.0,0.8385884,-0.87795526,0.20158637,21100.0,210
