test/success_rate,epoch,stats_o/mean,test/episode,train/success_rate,test/mean_Q,stats_o/std,stats_g/mean,train/episode,stats_g/std
0.0,147,0.20401889,2960.0,0.02,-12.424408,0.0492452,0.87563926,14800.0,0.10597368
0.0,148,0.2040055,2980.0,0.04,-10.859869,0.04928558,0.87567204,14900.0,0.10599095
0.0,149,0.20399162,3000.0,0.07,-11.534433,0.049263045,0.87563473,15000.0,0.10597644
0.0,150,0.20400958,3020.0,0.05,-11.733291,0.049245883,0.875673,15100.0,0.10603746
0.0,151,0.20403214,3040.0,0.02,-10.540555,0.04923219,0.87565273,15200.0,0.1060155
0.0,152,0.20402992,3060.0,0.02,-9.8502655,0.04923107,0.8756387,15300.0,0.10599058
0.05,153,0.20401987,3080.0,0.05,-11.795857,0.049238786,0.8756714,15400.0,0.10599699
0.05,154,0.20400707,3100.0,0.05,-10.837995,0.04924958,0.87567776,15500.0,0.10601268
0.05,155,0.20400299,3120.0,0.04,-9.43711,0.049312707,0.8756793,15600.0,0.106006406
0.05,156,0.20400612,3140.0,0.03,-11.430114,0.04937179,0.8756676,15700.0,0.105990134
0.0,157,0.2039954,3160.0,0.06,-10.226432,0.049446654,0.8756733,15800.0,0.106013395
0.05,158,0.20400208,3180.0,0.02,-9.915379,0.049493484,0.8756881,15900.0,0.10601177
0.05,159,0.20400605,3200.0,0.04,-12.36873,0.049555983,0.875725,16000.0,0.10602313
0.0,160,0.20400135,3220.0,0.03,-10.429857,0.04959111,0.875721,16100.0,0.10603007
0.0,161,0.20399313,3240.0,0.02,-9.162654,0.049669113,0.87572044,16200.0,0.10603207
0.05,162,0.20399696,3260.0,0.02,-9.686987,0.049706362,0.8756847,16300.0,0.106009185
0.1,163,0.20398706,3280.0,0.06,-8.828757,0.049732424,0.8756879,16400.0,0.10601324
0.05,164,0.20398523,3300.0,0.05,-12.8975725,0.04974045,0.8756477,16500.0,0.10598129
0.0,165,0.20398682,3320.0,0.05,-9.48381,0.04973904,0.8756547,16600.0,0.10602913
0.0,166,0.20397681,3340.0,0.03,-11.385738,0.049788173,0.87569195,16700.0,0.10602825
0.0,167,0.20397209,3360.0,0.01,-12.393133,0.049896035,0.87576264,16800.0,0.10602445
0.05,168,0.20397174,3380.0,0.07,-7.433159,0.049890563,0.87579036,16900.0,0.10604591
0.0,169,0.20396076,3400.0,0.02,-11.561621,0.050022803,0.8757958,17000.0,0.10606036
0.0,170,0.20395927,3420.0,0.0,-12.819827,0.05004883,0.8758445,17100.0,0.10606139
0.1,171,0.2039497,3440.0,0.05,-9.580278,0.050063103,0.87585783,17200.0,0.10606382
0.05,172,0.20394287,3460.0,0.05,-12.551953,0.05011915,0.87586623,17300.0,0.10603038
0.0,173,0.20393713,3480.0,0.03,-10.248171,0.050116945,0.8758955,17400.0,0.10606555
0.1,174,0.20393099,3500.0,0.04,-10.86931,0.050111488,0.8758781,17500.0,0.10605285
0.1,175,0.20393209,3520.0,0.03,-10.037094,0.050233528,0.8758721,17600.0,0.106063105
0.05,176,0.20394225,3540.0,0.06,-8.754486,0.050258804,0.8758897,17700.0,0.10604566
