train/success_rate,stats_o/mean,stats_g/mean,stats_g/std,stats_o/std,test/mean_Q,test/episode,train/episode,test/success_rate,epoch
0.8,0.2628048,0.87522584,0.085674204,0.030691192,-0.08653709,3480.0,3480.0,1.0,173
0.85,0.26283038,0.8753095,0.08566549,0.030689454,-0.08946664,3500.0,3500.0,1.0,174
0.65,0.26284447,0.87535,0.08562233,0.030679459,-0.04781059,3520.0,3520.0,1.0,175
0.85,0.26284477,0.87535745,0.08569056,0.030700896,-0.09139727,3540.0,3540.0,1.0,176
0.55,0.26286992,0.87544876,0.08573213,0.030711215,-0.08976133,3560.0,3560.0,1.0,177
0.75,0.26288015,0.8754924,0.085725546,0.030708164,-0.054865934,3580.0,3580.0,1.0,178
0.7,0.26288342,0.87550306,0.08575052,0.03071582,-0.08311189,3600.0,3600.0,1.0,179
0.75,0.26290664,0.87559,0.08578912,0.030728856,-0.0790945,3620.0,3620.0,1.0,180
0.6,0.262922,0.8756271,0.08579979,0.030733217,-0.03515864,3640.0,3640.0,1.0,181
0.6,0.26289684,0.87553924,0.085852586,0.030744994,-0.081327036,3660.0,3660.0,1.0,182
0.7,0.26286235,0.875422,0.08583099,0.030740991,-0.051030047,3680.0,3680.0,1.0,183
0.85,0.26286498,0.8754299,0.08577757,0.030725654,-0.02323422,3700.0,3700.0,1.0,184
0.85,0.2628679,0.8754465,0.085767865,0.0307231,-0.038171,3720.0,3720.0,1.0,185
0.65,0.262847,0.8753619,0.08576342,0.030722162,-0.041683488,3740.0,3740.0,1.0,186
0.7,0.26284394,0.87535715,0.0857681,0.030721376,-0.029155577,3760.0,3760.0,1.0,187
0.7,0.26284498,0.8753603,0.08572497,0.030710723,-0.0525936,3780.0,3780.0,1.0,188
0.9,0.26287043,0.8754649,0.08575515,0.030717388,-0.07661713,3800.0,3800.0,1.0,189
0.8,0.26285896,0.875415,0.08575097,0.030712906,-0.062332124,3820.0,3820.0,1.0,190
0.7,0.26285386,0.87540895,0.0856947,0.030699244,-0.052045964,3840.0,3840.0,1.0,191
0.6,0.26285094,0.8754017,0.08564796,0.030684892,-0.055739343,3860.0,3860.0,1.0,192
0.75,0.26283112,0.8753333,0.08567997,0.030695284,-0.055639703,3880.0,3880.0,1.0,193
0.8,0.2628166,0.87528133,0.085651405,0.030685043,-0.06868339,3900.0,3900.0,1.0,194
0.65,0.26278132,0.87515783,0.085652865,0.030686358,-0.07391492,3920.0,3920.0,1.0,195
0.75,0.26277438,0.8751182,0.08564683,0.030685479,-0.07411034,3940.0,3940.0,1.0,196
0.8,0.26278526,0.87516755,0.08565501,0.030686077,-0.0643606,3960.0,3960.0,1.0,197
0.8,0.26277244,0.875119,0.08562297,0.030676443,-0.049308546,3980.0,3980.0,1.0,198
0.75,0.26278332,0.8751555,0.08562418,0.030675098,-0.07002126,4000.0,4000.0,1.0,199
