stats_o/mean,train/success_rate,stats_g/mean,stats_g/std,test/mean_Q,test/episode,test/success_rate,epoch,train/episode,stats_o/std
0.26282698,0.7,0.8753198,0.08576646,-0.07156283,3760.0,1.0,187,3760.0,0.030710492
0.26282778,0.65,0.87532234,0.08572558,-0.030209845,3780.0,1.0,188,3780.0,0.030701935
0.26285475,0.8,0.8754285,0.085754715,-0.094395906,3800.0,1.0,189,3800.0,0.03070946
0.26284385,0.8,0.87538,0.085751295,-0.06733656,3820.0,1.0,190,3820.0,0.030705854
0.26283723,0.7,0.8753712,0.085695386,-0.09448122,3840.0,1.0,191,3840.0,0.030693382
0.26283225,0.7,0.87536025,0.08565026,-0.032191746,3860.0,1.0,192,3860.0,0.03068007
0.26281208,0.75,0.87529176,0.0856834,-0.05117817,3880.0,1.0,193,3880.0,0.030691152
0.26279688,0.8,0.87523913,0.08565432,-0.05885483,3900.0,1.0,194,3900.0,0.03068136
0.26276055,0.7,0.8751152,0.0856564,-0.0631042,3920.0,1.0,195,3920.0,0.030682623
0.2627509,0.7,0.87507194,0.08564892,-0.047097746,3940.0,1.0,196,3940.0,0.030680245
0.2627609,0.8,0.8751195,0.08565637,-0.06304714,3960.0,1.0,197,3960.0,0.03067992
0.26274717,0.8,0.87506944,0.085626386,-0.05989632,3980.0,1.0,198,3980.0,0.030671734
0.2627595,0.75,0.87510806,0.08562707,-0.05210936,4000.0,1.0,199,4000.0,0.030669054
