test/success_rate,test/episode,stats_g/mean,train/episode,train/success_rate,stats_o/mean,stats_g/std,test/mean_Q,stats_o/std,epoch
1.0,3800.0,0.83758384,19000.0,0.95,0.20144852,0.077143244,-1.33936,0.10937701,189
1.0,3820.0,0.83758736,19100.0,0.94,0.2014842,0.07711241,-1.3975408,0.109463364,190
1.0,3840.0,0.8375654,19200.0,0.93,0.20150135,0.07709847,-1.2754095,0.109497845,191
1.0,3860.0,0.83757144,19300.0,0.97,0.20150349,0.07704331,-1.1789774,0.109498285,192
1.0,3880.0,0.83753604,19400.0,0.94,0.20149066,0.07705829,-1.2061943,0.109595254,193
1.0,3900.0,0.8375244,19500.0,0.94,0.20149939,0.07698454,-1.2059202,0.109695904,194
1.0,3920.0,0.8375256,19600.0,0.93,0.20150568,0.07695383,-1.2454228,0.10977848,195
1.0,3940.0,0.8375049,19700.0,0.95,0.2014955,0.07689058,-1.1532623,0.10980954,196
1.0,3960.0,0.8375055,19800.0,0.96,0.20147595,0.076830946,-1.0227507,0.10997363,197
0.95,3980.0,0.8375044,19900.0,0.94,0.2014604,0.07678532,-1.4409062,0.109955624,198
1.0,4000.0,0.8375182,20000.0,0.92,0.20145357,0.07675261,-1.2286507,0.10997933,199
1.0,4020.0,0.83748794,20100.0,0.93,0.20146787,0.07673821,-1.2080259,0.11009181,200
0.95,4040.0,0.8374879,20200.0,0.96,0.20149632,0.076678686,-1.6471412,0.1101534,201
1.0,4060.0,0.83749086,20300.0,0.97,0.20149253,0.07662423,-1.2263321,0.110206746,202
1.0,4080.0,0.8374932,20400.0,0.94,0.20147863,0.07656307,-1.1514032,0.11031028,203
1.0,4100.0,0.83749884,20500.0,0.96,0.20149617,0.07651245,-1.313174,0.11034356,204
1.0,4120.0,0.83751696,20600.0,0.93,0.20152666,0.07645691,-1.0559783,0.11037485,205
1.0,4140.0,0.837527,20700.0,0.97,0.20153446,0.07639107,-1.0934212,0.11033496,206
1.0,4160.0,0.837519,20800.0,0.92,0.20152447,0.07632441,-1.1638792,0.11037545,207
1.0,4180.0,0.8375378,20900.0,0.97,0.20155361,0.07627294,-1.0203284,0.11040726,208
0.95,4200.0,0.837544,21000.0,0.96,0.20155852,0.07622673,-1.8950813,0.11039717,209
0.95,4220.0,0.83756495,21100.0,0.91,0.2015621,0.076221876,-1.2421774,0.11039165,210
1.0,4240.0,0.8375389,21200.0,0.92,0.20157047,0.076197304,-1.2756302,0.11043454,211
1.0,4260.0,0.8375578,21300.0,0.96,0.20156102,0.076214746,-0.990699,0.11049301,212
1.0,4280.0,0.83757395,21400.0,0.98,0.20156637,0.07616754,-1.310457,0.11054284,213
1.0,4300.0,0.83758837,21500.0,0.94,0.20154503,0.07617399,-1.5546879,0.11064564,214
1.0,4320.0,0.8375967,21600.0,0.94,0.20155326,0.07620833,-1.1454856,0.11067513,215
1.0,4340.0,0.8375996,21700.0,0.97,0.20156294,0.07615526,-1.2102443,0.11069516,216
1.0,4360.0,0.8376062,21800.0,0.94,0.20155364,0.07620553,-1.2147586,0.11080816,217
1.0,4380.0,0.83761454,21900.0,0.93,0.20157208,0.07618356,-0.8374224,0.1109053,218
0.95,4400.0,0.8376108,22000.0,0.97,0.20155707,0.07613725,-1.2120324,0.11091299,219
1.0,4420.0,0.8376188,22100.0,0.94,0.20155983,0.07609342,-1.1600504,0.11090002,220
1.0,4440.0,0.8376208,22200.0,0.95,0.20156041,0.07603163,-1.2331182,0.11091276,221
