train/success_rate,stats_g/mean,train/episode,test/mean_Q,test/episode,stats_g/std,stats_o/std,epoch,stats_o/mean,test/success_rate
0.75,0.8763667,3760.0,-0.05872537,3760.0,0.08522295,0.030586496,187,0.26292896,1.0
0.7,0.87638,3780.0,-0.043950234,3780.0,0.085166216,0.030570213,188,0.26293156,1.0
0.75,0.876509,3800.0,-0.063946135,3800.0,0.08521692,0.030587157,189,0.26296678,1.0
0.7,0.8764618,3820.0,-0.06829087,3820.0,0.08521632,0.03058671,190,0.26295823,1.0
0.7,0.8764596,3840.0,-0.028259179,3840.0,0.085172534,0.030576434,191,0.2629575,1.0
0.7,0.87645555,3860.0,-0.060310066,3860.0,0.08512714,0.030562129,192,0.26295936,1.0
0.7,0.8764002,3880.0,-0.050227635,3880.0,0.08514738,0.03057175,193,0.26294369,1.0
0.7,0.8763775,3900.0,-0.049203597,3900.0,0.085124545,0.030565161,194,0.26293895,1.0
0.75,0.8762587,3920.0,-0.07730705,3920.0,0.08513808,0.03056761,195,0.26290268,1.0
0.8,0.8762207,3940.0,-0.046749398,3940.0,0.085135855,0.030564595,196,0.262888,1.0
0.75,0.8762558,3960.0,-0.079292946,3960.0,0.08514613,0.030567095,197,0.26289934,1.0
0.7,0.876205,3980.0,-0.046700127,3980.0,0.08511112,0.030561453,198,0.2628836,1.0
0.8,0.8762386,4000.0,-0.07271985,4000.0,0.08511594,0.030563485,199,0.26289332,1.0
0.75,0.87613755,4020.0,-0.032693245,4020.0,0.08512831,0.030564446,200,0.26286727,1.0
0.75,0.8762265,4040.0,-0.059419114,4040.0,0.085148305,0.030571511,201,0.26289168,1.0
0.7,0.87615323,4060.0,-0.04509286,4060.0,0.08513609,0.030568967,202,0.26287195,1.0
0.85,0.87622666,4080.0,-0.03425662,4080.0,0.08511885,0.030564884,203,0.2628929,1.0
0.75,0.876214,4100.0,-0.060646124,4100.0,0.08515153,0.030575063,204,0.26288995,1.0
0.8,0.8762384,4120.0,-0.065691054,4120.0,0.08513152,0.030568296,205,0.26289707,1.0
0.65,0.87630457,4140.0,-0.06274776,4140.0,0.08512438,0.030565277,206,0.26291218,1.0
0.65,0.87630695,4160.0,-0.054966353,4160.0,0.08512241,0.030562673,207,0.26291567,1.0
0.85,0.8763194,4180.0,-0.02993753,4180.0,0.085100256,0.03055324,208,0.26291734,1.0
0.9,0.8763073,4200.0,-0.07141168,4200.0,0.08511561,0.030557448,209,0.26291442,1.0
0.8,0.8762963,4220.0,-0.06669518,4220.0,0.085154414,0.030566031,210,0.26291373,1.0
0.75,0.8762868,4240.0,-0.071554676,4240.0,0.08520039,0.030577246,211,0.26291043,1.0
0.5,0.87632203,4260.0,-0.070140585,4260.0,0.085207425,0.030581087,212,0.26292002,1.0
0.9,0.8763821,4280.0,-0.047580026,4280.0,0.08516672,0.03056981,213,0.26293808,1.0
