stats_g/mean,stats_o/std,stats_o/mean,epoch,test/episode,stats_g/std,test/success_rate,train/success_rate,test/mean_Q,train/episode
0.83853227,0.060090955,0.20130417,173,3480.0,0.061074868,0.05,0.07,-6.5740776,17400.0
0.8385463,0.060128316,0.20129113,174,3500.0,0.06105524,0.1,0.08,-7.174412,17500.0
0.8385372,0.060158473,0.20130023,175,3520.0,0.061051115,0.1,0.1,-6.143861,17600.0
0.83859825,0.060200974,0.20131323,176,3540.0,0.06104377,0.15,0.08,-5.724206,17700.0
0.8385932,0.060290955,0.20130634,177,3560.0,0.061049625,0.05,0.06,-5.9858656,17800.0
0.83860475,0.06036251,0.201313,178,3580.0,0.061066594,0.0,0.07,-7.1535883,17900.0
0.8385882,0.060431685,0.20131545,179,3600.0,0.061067853,0.1,0.02,-6.655511,18000.0
0.8385639,0.060504977,0.20132643,180,3620.0,0.061060395,0.1,0.11,-7.1887345,18100.0
0.83855563,0.060525898,0.20133421,181,3640.0,0.061064973,0.1,0.06,-6.52386,18200.0
0.83851415,0.060541425,0.20134015,182,3660.0,0.061048683,0.0,0.05,-7.7055297,18300.0
0.8385644,0.060683824,0.2013698,183,3680.0,0.06104053,0.1,0.07,-5.858882,18400.0
0.83852345,0.06077339,0.2013751,184,3700.0,0.06103674,0.15,0.05,-7.2926416,18500.0
0.83853656,0.06084544,0.20138068,185,3720.0,0.061022397,0.05,0.11,-6.7715034,18600.0
0.83849174,0.060902424,0.20138645,186,3740.0,0.061024103,0.1,0.06,-6.0511885,18700.0
0.838537,0.061074704,0.20138285,187,3760.0,0.06104465,0.1,0.15,-8.253639,18800.0
0.8385324,0.06128989,0.20142438,188,3780.0,0.06103973,0.0,0.07,-7.1497674,18900.0
0.8384995,0.061375827,0.20142582,189,3800.0,0.061038356,0.05,0.12,-6.644952,19000.0
0.8385022,0.061580867,0.20143479,190,3820.0,0.06104203,0.2,0.09,-6.15152,19100.0
0.8384707,0.06171089,0.20143569,191,3840.0,0.061054762,0.0,0.06,-6.580916,19200.0
0.8384746,0.06184191,0.20144267,192,3860.0,0.061056927,0.1,0.11,-6.449196,19300.0
0.83844304,0.06185663,0.20143774,193,3880.0,0.061058883,0.05,0.06,-6.05807,19400.0
0.83841866,0.061953153,0.20143622,194,3900.0,0.061043855,0.1,0.1,-6.723639,19500.0
0.8384104,0.06202796,0.20145683,195,3920.0,0.061063588,0.1,0.09,-6.646474,19600.0
0.838387,0.062134065,0.20145136,196,3940.0,0.061060727,0.05,0.08,-5.548917,19700.0
0.83837074,0.062350016,0.20145841,197,3960.0,0.061055794,0.1,0.13,-5.588216,19800.0
0.8383651,0.062460784,0.20145006,198,3980.0,0.061052248,0.05,0.12,-6.1133294,19900.0
0.83837193,0.06264025,0.20145139,199,4000.0,0.06103513,0.0,0.1,-6.8723135,20000.0
0.8383344,0.062804155,0.20142795,200,4020.0,0.061045807,0.05,0.1,-6.5527067,20100.0
0.83833283,0.06296695,0.20144506,201,4040.0,0.06104536,0.2,0.1,-6.1230035,20200.0
0.83832806,0.06303875,0.20145561,202,4060.0,0.061055098,0.05,0.07,-6.178675,20300.0
0.8383236,0.06317128,0.20148647,203,4080.0,0.061049502,0.05,0.09,-6.355069,20400.0
0.83832234,0.063401334,0.20149808,204,4100.0,0.06105983,0.15,0.14,-6.9404707,20500.0
0.8383444,0.0634588,0.20149557,205,4120.0,0.061052714,0.15,0.07,-6.3154435,20600.0
0.83835155,0.06360022,0.20149578,206,4140.0,0.061041,0.0,0.07,-6.6886888,20700.0
0.8383386,0.0636835,0.20150961,207,4160.0,0.061029855,0.1,0.08,-7.3576384,20800.0
0.8383612,0.06375446,0.20151839,208,4180.0,0.061035916,0.1,0.11,-5.4660406,20900.0
0.8383582,0.063829824,0.20152856,209,4200.0,0.06105208,0.1,0.12,-6.378306,21000.0
0.8383734,0.06393709,0.20155789,210,4220.0,0.061044723,0.1,0.08,-6.3289666,21100.0
0.83833456,0.06393224,0.20156704,211,4240.0,0.061041057,0.0,0.15,-7.6703086,21200.0
0.83835,0.06411597,0.20157854,212,4260.0,0.061046693,0.05,0.07,-5.417588,21300.0
0.8383608,0.06418858,0.2015789,213,4280.0,0.061052416,0.0,0.09,-6.370594,21400.0
0.83836573,0.0643763,0.20158836,214,4300.0,0.06104323,0.05,0.07,-6.4966164,21500.0
0.8383708,0.06443443,0.2016083,215,4320.0,0.061037466,0.1,0.09,-6.4778724,21600.0
0.8383613,0.06453082,0.20162305,216,4340.0,0.061034486,0.0,0.12,-7.0218077,21700.0
0.83836436,0.064677045,0.20163277,217,4360.0,0.061037328,0.25,0.06,-5.5622115,21800.0
0.8383685,0.06474641,0.2016271,218,4380.0,0.061049405,0.1,0.11,-5.3196783,21900.0
0.83835703,0.06483869,0.20163673,219,4400.0,0.061062034,0.15,0.13,-6.0479774,22000.0
0.8383625,0.065018766,0.20165034,220,4420.0,0.061070893,0.05,0.07,-7.0099764,22100.0
0.8383685,0.065100364,0.20164467,221,4440.0,0.061057363,0.0,0.15,-7.1281343,22200.0
0.8383618,0.06529185,0.20165592,222,4460.0,0.061067004,0.15,0.06,-6.3356504,22300.0
0.83835834,0.06548408,0.20166475,223,4480.0,0.0610864,0.1,0.12,-6.7999544,22400.0
0.83835435,0.06565848,0.20166983,224,4500.0,0.061065856,0.05,0.08,-7.409762,22500.0
0.8383362,0.06573507,0.20167206,225,4520.0,0.061061163,0.1,0.06,-6.7127976,22600.0
0.8383427,0.0659569,0.20167018,226,4540.0,0.061072294,0.1,0.07,-6.100503,22700.0
0.8383381,0.066152155,0.20167832,227,4560.0,0.061070587,0.2,0.08,-6.1453753,22800.0
0.83832437,0.06626043,0.20168075,228,4580.0,0.061067715,0.1,0.07,-6.290927,22900.0
0.8383201,0.06635301,0.20168523,229,4600.0,0.061090317,0.25,0.11,-6.8170686,23000.0
0.8383228,0.066482276,0.20168836,230,4620.0,0.061086748,0.2,0.06,-6.6795845,23100.0
0.8383507,0.06662682,0.20169918,231,4640.0,0.06108904,0.2,0.11,-5.9446073,23200.0
0.83833224,0.0667986,0.20171344,232,4660.0,0.06109591,0.1,0.06,-5.407894,23300.0
0.8383262,0.06689095,0.20172352,233,4680.0,0.061121598,0.1,0.08,-8.20117,23400.0
0.83833975,0.06700953,0.20172398,234,4700.0,0.06113225,0.25,0.11,-5.4980083,23500.0
0.83830315,0.06712635,0.20171915,235,4720.0,0.06112607,0.05,0.04,-6.6950355,23600.0
0.8382928,0.067213714,0.201726,236,4740.0,0.061129734,0.1,0.09,-7.247003,23700.0
0.83827525,0.06726043,0.20174484,237,4760.0,0.061126646,0.3,0.05,-6.125441,23800.0
0.83829457,0.06728634,0.20174816,238,4780.0,0.061120566,0.05,0.14,-6.0796223,23900.0
0.83830374,0.067378655,0.20174976,239,4800.0,0.0611272,0.2,0.05,-6.707099,24000.0
0.8382611,0.067524426,0.20176075,240,4820.0,0.061128464,0.2,0.09,-4.984559,24100.0
0.83828956,0.06771608,0.20176224,241,4840.0,0.061126176,0.15,0.11,-5.6525135,24200.0
0.8383135,0.06783878,0.2017828,242,4860.0,0.06112114,0.15,0.11,-5.0061793,24300.0
0.8383177,0.06798483,0.2017983,243,4880.0,0.061126307,0.15,0.11,-6.8667274,24400.0
0.8383258,0.06805274,0.20180322,244,4900.0,0.06111668,0.15,0.16,-6.236266,24500.0
0.83831424,0.06816555,0.20182289,245,4920.0,0.061126992,0.3,0.12,-5.995362,24600.0
0.83830947,0.06840208,0.20182376,246,4940.0,0.06113489,0.15,0.1,-4.752494,24700.0
0.83830327,0.06852629,0.20181906,247,4960.0,0.061122295,0.35,0.06,-4.425784,24800.0
0.83830166,0.06862094,0.20183194,248,4980.0,0.06112321,0.3,0.04,-4.912483,24900.0
0.8382897,0.06875577,0.2018379,249,5000.0,0.061124828,0.1,0.06,-5.676064,25000.0
0.83830804,0.06890604,0.20183067,250,5020.0,0.061126884,0.3,0.12,-5.1280713,25100.0
0.8383139,0.06911553,0.20184727,251,5040.0,0.06111966,0.15,0.11,-7.1497345,25200.0
0.83831006,0.06922326,0.20185669,252,5060.0,0.06112999,0.3,0.13,-5.828581,25300.0
0.8382948,0.069334365,0.20187162,253,5080.0,0.06113768,0.2,0.14,-6.3594947,25400.0
0.83830863,0.069442585,0.20187195,254,5100.0,0.061122432,0.2,0.15,-5.5646996,25500.0
0.838326,0.06955883,0.20187587,255,5120.0,0.061131373,0.25,0.1,-6.1383467,25600.0
0.83832866,0.069624394,0.2018847,256,5140.0,0.061144326,0.3,0.18,-5.5537376,25700.0
0.8383333,0.06977963,0.20189361,257,5160.0,0.061147753,0.25,0.1,-5.014895,25800.0
0.8383201,0.069824524,0.20189306,258,5180.0,0.06113504,0.4,0.09,-5.1035295,25900.0
0.8383534,0.06989936,0.20190725,259,5200.0,0.061134342,0.2,0.12,-6.1435947,26000.0
0.8383511,0.069978334,0.20190391,260,5220.0,0.061144765,0.25,0.11,-5.266837,26100.0
0.83833104,0.070080444,0.2019233,261,5240.0,0.061135843,0.1,0.11,-6.8624406,26200.0
0.83830947,0.0701647,0.20191436,262,5260.0,0.061135616,0.3,0.13,-4.0162487,26300.0
0.8382701,0.07023172,0.20191649,263,5280.0,0.06113321,0.35,0.1,-5.312021,26400.0
0.8382929,0.07029132,0.20193203,264,5300.0,0.061135724,0.2,0.12,-5.332985,26500.0
0.8383127,0.07035216,0.20194297,265,5320.0,0.061141346,0.45,0.15,-4.980133,26600.0
0.83829373,0.07050513,0.20195486,266,5340.0,0.06113058,0.2,0.13,-6.08206,26700.0
0.8382911,0.070564985,0.20196562,267,5360.0,0.06113172,0.1,0.16,-5.231646,26800.0
0.83831024,0.07063297,0.20197594,268,5380.0,0.061129197,0.4,0.14,-4.436767,26900.0
0.83830374,0.070657454,0.20198624,269,5400.0,0.06113504,0.3,0.11,-5.0224137,27000.0
0.83830285,0.070682555,0.20199072,270,5420.0,0.061133098,0.1,0.12,-5.001681,27100.0
0.83830565,0.07079236,0.20199993,271,5440.0,0.061123237,0.2,0.08,-4.777884,27200.0
0.838334,0.07086646,0.20199971,272,5460.0,0.061125983,0.2,0.13,-5.4252906,27300.0
