stats_g/mean,test/mean_Q,epoch,test/episode,test/success_rate,train/episode,stats_o/mean,stats_g/std,stats_o/std,train/success_rate
0.79696655,-17.22332,108,2180.0,0.25,10900.0,0.1895553,0.17380182,0.088840455,0.12
0.79717916,-11.784624,109,2200.0,0.55,11000.0,0.18958114,0.17376877,0.088875294,0.15
0.79728097,-17.314575,110,2220.0,0.4,11100.0,0.18959542,0.17388119,0.08902751,0.16
0.7976224,-20.061201,111,2240.0,0.25,11200.0,0.18969217,0.17375727,0.088988006,0.16
0.79768085,-14.0116625,112,2260.0,0.45,11300.0,0.18971287,0.17381196,0.089025475,0.18
0.79777366,-19.794209,113,2280.0,0.3,11400.0,0.18971448,0.1737795,0.08911964,0.18
0.7979255,-12.908389,114,2300.0,0.45,11500.0,0.18975852,0.17375827,0.089196146,0.1
0.7981004,-13.378555,115,2320.0,0.5,11600.0,0.18982255,0.17352515,0.08919061,0.14
0.79821223,-15.28927,116,2340.0,0.3,11700.0,0.1898589,0.17357606,0.08934473,0.21
0.79836744,-19.1937,117,2360.0,0.3,11800.0,0.18991402,0.17352831,0.089404166,0.14
0.7984093,-17.36971,118,2380.0,0.4,11900.0,0.18989508,0.17364864,0.089708954,0.1
0.7985788,-16.312471,119,2400.0,0.4,12000.0,0.18992548,0.17357792,0.08984376,0.1
0.79867506,-12.950399,120,2420.0,0.55,12100.0,0.1899801,0.17374603,0.089888506,0.16
0.7988481,-13.585574,121,2440.0,0.45,12200.0,0.19001581,0.17379443,0.090035945,0.1
0.7990101,-21.280148,122,2460.0,0.2,12300.0,0.19007774,0.17360641,0.09001862,0.12
0.7991809,-17.353058,123,2480.0,0.35,12400.0,0.19010167,0.17362426,0.09002755,0.16
0.79950887,-15.811793,124,2500.0,0.3,12500.0,0.1901615,0.17351753,0.09015666,0.16
0.7996633,-18.718966,125,2520.0,0.35,12600.0,0.1902067,0.17361133,0.09022613,0.08
0.79978174,-19.408936,126,2540.0,0.25,12700.0,0.19024631,0.17355026,0.09024534,0.18
0.80010146,-16.163168,127,2560.0,0.4,12800.0,0.1902848,0.1734126,0.09027322,0.14
0.80026937,-13.256079,128,2580.0,0.55,12900.0,0.19032978,0.17336006,0.09026167,0.14
0.800361,-13.031209,129,2600.0,0.6,13000.0,0.19037811,0.17338382,0.090380944,0.18
0.80057544,-16.68988,130,2620.0,0.35,13100.0,0.19044347,0.17332585,0.090517215,0.15
0.8007515,-15.539124,131,2640.0,0.35,13200.0,0.19050191,0.17337592,0.09051551,0.13
0.8009932,-12.343931,132,2660.0,0.45,13300.0,0.19056429,0.17331809,0.090509236,0.16
0.80126864,-13.93223,133,2680.0,0.4,13400.0,0.19063853,0.17330633,0.09058957,0.14
0.8013372,-10.238948,134,2700.0,0.6,13500.0,0.19066128,0.17321669,0.090624705,0.15
0.8015545,-11.019277,135,2720.0,0.55,13600.0,0.1906938,0.17314696,0.090614125,0.19
0.8017474,-12.89964,136,2740.0,0.35,13700.0,0.1907371,0.17313164,0.09067052,0.12
0.8018448,-14.795797,137,2760.0,0.2,13800.0,0.19073194,0.17307806,0.09068268,0.15
0.8019138,-16.000355,138,2780.0,0.4,13900.0,0.19074637,0.1731769,0.090816334,0.15
0.8020174,-12.397168,139,2800.0,0.45,14000.0,0.19078192,0.17312461,0.09080969,0.18
0.8022041,-11.028597,140,2820.0,0.65,14100.0,0.19081359,0.17330974,0.090853035,0.17
0.8022421,-15.080622,141,2840.0,0.5,14200.0,0.19083811,0.17333405,0.09081016,0.2
0.80225116,-16.69419,142,2860.0,0.2,14300.0,0.19081658,0.17345192,0.09088751,0.16
0.8022724,-19.656404,143,2880.0,0.35,14400.0,0.19079426,0.17356062,0.0909808,0.14
0.8023773,-14.594534,144,2900.0,0.4,14500.0,0.19083625,0.17342518,0.09101531,0.2
0.8024706,-18.130182,145,2920.0,0.35,14600.0,0.19083788,0.17341866,0.091101006,0.13
0.80257815,-14.9698,146,2940.0,0.5,14700.0,0.1908562,0.17341973,0.091121376,0.19
0.8027026,-16.63693,147,2960.0,0.45,14800.0,0.19088034,0.17348836,0.09126216,0.19
0.80287284,-13.587222,148,2980.0,0.65,14900.0,0.19090998,0.17346133,0.091331966,0.12
0.8029848,-15.751389,149,3000.0,0.45,15000.0,0.1909498,0.17347549,0.091320336,0.13
0.8031828,-14.244372,150,3020.0,0.55,15100.0,0.1909914,0.17330897,0.09124864,0.17
0.8032221,-17.276989,151,3040.0,0.6,15200.0,0.19102915,0.17339577,0.09135995,0.12
0.8033175,-17.83285,152,3060.0,0.4,15300.0,0.19107899,0.17337006,0.091354616,0.14
0.8034692,-17.309437,153,3080.0,0.35,15400.0,0.19110066,0.17332466,0.091403574,0.13
0.80362344,-15.88162,154,3100.0,0.6,15500.0,0.19109417,0.17330612,0.091488406,0.14
0.80381346,-13.107138,155,3120.0,0.65,15600.0,0.19113085,0.17326027,0.09146543,0.2
0.8039101,-19.175055,156,3140.0,0.3,15700.0,0.19114707,0.17313194,0.09143819,0.18
0.80400395,-13.929739,157,3160.0,0.6,15800.0,0.19115886,0.17315525,0.09152013,0.16
0.8041461,-11.382446,158,3180.0,0.65,15900.0,0.19115187,0.17320354,0.09154257,0.17
0.80433893,-14.318579,159,3200.0,0.55,16000.0,0.19114788,0.17317767,0.09164937,0.14
0.8043802,-15.125501,160,3220.0,0.5,16100.0,0.19115071,0.17310546,0.09161613,0.16
0.80449694,-15.264282,161,3240.0,0.6,16200.0,0.19116947,0.17309041,0.09163987,0.15
0.804626,-13.181932,162,3260.0,0.55,16300.0,0.19118643,0.17309743,0.091658026,0.16
0.8047125,-12.171418,163,3280.0,0.45,16400.0,0.19120994,0.1730843,0.09169917,0.2
0.8048145,-14.900409,164,3300.0,0.45,16500.0,0.19121306,0.17301315,0.091809705,0.15
0.8049502,-15.754921,165,3320.0,0.55,16600.0,0.1912355,0.17299497,0.09188142,0.13
0.8050532,-11.291129,166,3340.0,0.7,16700.0,0.19122906,0.17300844,0.09187862,0.13
0.8051343,-13.791295,167,3360.0,0.6,16800.0,0.19124077,0.17300147,0.09191003,0.16
0.8052915,-14.410739,168,3380.0,0.55,16900.0,0.19127381,0.17292862,0.0919324,0.26
0.8054216,-16.034977,169,3400.0,0.45,17000.0,0.19129719,0.17281394,0.091888696,0.22
0.80553627,-12.024386,170,3420.0,0.45,17100.0,0.19131123,0.17275363,0.09194432,0.13
0.8056466,-14.810727,171,3440.0,0.6,17200.0,0.19133045,0.17282552,0.09200058,0.17
0.80579495,-13.367798,172,3460.0,0.55,17300.0,0.1913337,0.17280143,0.09209332,0.22
0.80600303,-10.245087,173,3480.0,0.75,17400.0,0.19136083,0.17274944,0.09214487,0.13
0.806127,-14.031858,174,3500.0,0.45,17500.0,0.19137245,0.17271079,0.092175305,0.19
0.8062926,-12.731622,175,3520.0,0.6,17600.0,0.19136256,0.17266965,0.09220826,0.21
0.80634737,-11.586493,176,3540.0,0.35,17700.0,0.19136141,0.1725924,0.09222953,0.18
0.80639476,-13.810605,177,3560.0,0.65,17800.0,0.19137353,0.17249827,0.092333786,0.19
0.806521,-17.649092,178,3580.0,0.5,17900.0,0.19140123,0.17236805,0.09229393,0.19
0.8066438,-14.510782,179,3600.0,0.5,18000.0,0.1914111,0.17228584,0.09234402,0.17
0.8067374,-13.588544,180,3620.0,0.7,18100.0,0.19143577,0.1722643,0.09235191,0.16
0.8068858,-18.501396,181,3640.0,0.25,18200.0,0.19145428,0.1721798,0.092288464,0.15
0.80698746,-12.865782,182,3660.0,0.55,18300.0,0.1914878,0.17225093,0.092277735,0.18
0.80704474,-15.79217,183,3680.0,0.55,18400.0,0.19150183,0.17221695,0.09225757,0.22
0.807081,-15.44618,184,3700.0,0.6,18500.0,0.19152926,0.17234413,0.092318475,0.16
0.80712396,-12.330971,185,3720.0,0.7,18600.0,0.19154601,0.17228265,0.09229302,0.2
0.8072575,-13.50387,186,3740.0,0.6,18700.0,0.19156288,0.17224644,0.09222931,0.16
0.8073358,-15.2317095,187,3760.0,0.75,18800.0,0.19157271,0.17215465,0.092190415,0.22
0.8074954,-17.200981,188,3780.0,0.45,18900.0,0.19160219,0.1721885,0.09216723,0.21
0.80757326,-14.139369,189,3800.0,0.45,19000.0,0.19159383,0.1722083,0.09220119,0.21
0.8076215,-12.097179,190,3820.0,0.7,19100.0,0.19158624,0.17221944,0.092236444,0.14
0.8077497,-14.120318,191,3840.0,0.6,19200.0,0.19160855,0.17224789,0.09218997,0.16
0.8078759,-13.188774,192,3860.0,0.55,19300.0,0.19162129,0.17221268,0.09219939,0.15
