test/success_rate,test/mean_Q,epoch,stats_g/std,train/success_rate,stats_o/std,train/episode,stats_g/mean,stats_o/mean,test/episode
1.0,-0.50853986,126,0.085789114,0.65,0.028727766,2540.0,0.875496,0.26272386,2540.0
1.0,-0.5116714,127,0.08579838,0.8,0.028732711,2560.0,0.87544173,0.2627029,2560.0
1.0,-0.54937553,128,0.085769616,0.55,0.028730338,2580.0,0.8753709,0.2626876,2580.0
1.0,-0.49661192,129,0.08570347,0.7,0.02872164,2600.0,0.87544775,0.26270562,2600.0
1.0,-0.5785384,130,0.0857233,0.7,0.028721172,2620.0,0.8753009,0.26267797,2620.0
1.0,-0.55118454,131,0.0856644,0.6,0.028710913,2640.0,0.8753006,0.26268387,2640.0
1.0,-0.55424273,132,0.08564543,0.85,0.02870953,2660.0,0.8753331,0.26269126,2660.0
1.0,-0.5234998,133,0.08565577,0.85,0.028713549,2680.0,0.875299,0.26268578,2680.0
1.0,-0.5319297,134,0.08569742,0.6,0.028719217,2700.0,0.8753403,0.26269382,2700.0
1.0,-0.5304912,135,0.08570793,0.8,0.028728861,2720.0,0.8753474,0.2626949,2720.0
1.0,-0.4894832,136,0.0856852,0.55,0.02872786,2740.0,0.87537724,0.26270306,2740.0
1.0,-0.53631955,137,0.08568493,0.8,0.02873063,2760.0,0.87538236,0.2626987,2760.0
1.0,-0.5176455,138,0.08569869,0.7,0.028731033,2780.0,0.87543845,0.26270622,2780.0
1.0,-0.5064461,139,0.08567067,0.9,0.028726935,2800.0,0.87532204,0.26267555,2800.0
1.0,-0.60225016,140,0.08573192,0.75,0.028741324,2820.0,0.875119,0.26263824,2820.0
1.0,-0.5239425,141,0.085764356,0.7,0.028749222,2840.0,0.8751084,0.26263684,2840.0
1.0,-0.5815491,142,0.08578324,0.8,0.028750721,2860.0,0.8751406,0.26264516,2860.0
1.0,-0.5848497,143,0.08580405,0.65,0.028758023,2880.0,0.87514925,0.26264903,2880.0
1.0,-0.5648339,144,0.0857927,0.6,0.028761838,2900.0,0.8751704,0.26265353,2900.0
1.0,-0.5719764,145,0.085796796,0.7,0.02876553,2920.0,0.8751132,0.2626438,2920.0
1.0,-0.58693105,146,0.08585147,0.75,0.028777745,2940.0,0.8750713,0.26263148,2940.0
1.0,-0.5146556,147,0.08583955,0.65,0.028772611,2960.0,0.87504655,0.26262105,2960.0
1.0,-0.54925287,148,0.08586634,0.8,0.028778499,2980.0,0.87517524,0.26265094,2980.0
1.0,-0.59148914,149,0.08584145,0.7,0.02877296,3000.0,0.8751294,0.26264077,3000.0
1.0,-0.5871392,150,0.08592504,0.75,0.028789278,3020.0,0.87515426,0.26264963,3020.0
1.0,-0.58513534,151,0.08590343,0.65,0.028778296,3040.0,0.87516433,0.26265067,3040.0
1.0,-0.553873,152,0.08593893,0.75,0.028785774,3060.0,0.87526554,0.2626734,3060.0
1.0,-0.5160948,153,0.08592937,0.75,0.028784867,3080.0,0.8752746,0.2626751,3080.0
1.0,-0.5292118,154,0.085939504,0.75,0.028800542,3100.0,0.87528306,0.2626775,3100.0
1.0,-0.5791822,155,0.08600078,0.7,0.028812882,3120.0,0.8753722,0.26269796,3120.0
1.0,-0.56000763,156,0.08603966,0.75,0.028822025,3140.0,0.87535137,0.2627011,3140.0
1.0,-0.54582375,157,0.08603441,0.75,0.02881946,3160.0,0.87541026,0.26271382,3160.0
