epoch,stats_g/mean,train/success_rate,test/episode,test/success_rate,stats_g/std,stats_o/mean,train/episode,test/mean_Q,stats_o/std
112,0.87562245,0.01,2260.0,0.05,0.10586506,0.2039052,11300.0,-38.3617,0.06125343
113,0.8756525,0.01,2280.0,0.05,0.10588983,0.20391807,11400.0,-40.249836,0.061241183
114,0.87557024,0.04,2300.0,0.0,0.105850734,0.20391336,11500.0,-43.786083,0.061413124
115,0.8755641,0.02,2320.0,0.05,0.10582274,0.20390572,11600.0,-40.108032,0.061521176
116,0.8755192,0.02,2340.0,0.05,0.105845846,0.20390172,11700.0,-39.09765,0.061637472
117,0.8755233,0.07,2360.0,0.05,0.10583172,0.20390812,11800.0,-38.50932,0.061645888
118,0.8755372,0.02,2380.0,0.1,0.10582232,0.20391935,11900.0,-38.85362,0.061629485
119,0.87555456,0.03,2400.0,0.0,0.105802506,0.20391308,12000.0,-42.759937,0.06162001
120,0.8756229,0.04,2420.0,0.0,0.1058295,0.20389368,12100.0,-40.768456,0.061658897
121,0.875725,0.03,2440.0,0.0,0.10584298,0.20390102,12200.0,-41.498367,0.061700426
122,0.875722,0.02,2460.0,0.0,0.10585406,0.20389538,12300.0,-42.781925,0.061611284
123,0.87576574,0.02,2480.0,0.05,0.105864085,0.20389749,12400.0,-39.97897,0.061540235
124,0.8757987,0.03,2500.0,0.1,0.10589051,0.20389514,12500.0,-37.295277,0.06153514
125,0.87585044,0.03,2520.0,0.05,0.10590118,0.20389004,12600.0,-40.36391,0.061492253
126,0.87589175,0.04,2540.0,0.0,0.10590541,0.20388152,12700.0,-41.80726,0.061429635
127,0.8758888,0.02,2560.0,0.05,0.10590941,0.20388056,12800.0,-38.726574,0.061434794
128,0.8758426,0.02,2580.0,0.0,0.10592166,0.20387845,12900.0,-42.890526,0.061360545
129,0.87585753,0.04,2600.0,0.1,0.10594857,0.20387453,13000.0,-39.740784,0.061293904
130,0.8758053,0.06,2620.0,0.1,0.10593053,0.20387171,13100.0,-37.591957,0.061285127
131,0.8757785,0.05,2640.0,0.1,0.105938554,0.20387664,13200.0,-32.95362,0.061288863
132,0.8757856,0.05,2660.0,0.05,0.10595129,0.20388187,13300.0,-39.749157,0.06123868
133,0.875803,0.03,2680.0,0.0,0.1059496,0.20388258,13400.0,-43.540257,0.061154533
134,0.8758443,0.04,2700.0,0.0,0.105951704,0.20390823,13500.0,-45.75986,0.061170265
135,0.8757928,0.04,2720.0,0.0,0.10595331,0.20390536,13600.0,-41.12108,0.06116537
136,0.8757195,0.0,2740.0,0.05,0.105921805,0.2039111,13700.0,-42.544838,0.061096564
137,0.8757169,0.04,2760.0,0.05,0.105936505,0.20390254,13800.0,-43.01934,0.061006874
138,0.87568617,0.02,2780.0,0.05,0.105937146,0.20390883,13900.0,-43.35569,0.060957223
139,0.875614,0.05,2800.0,0.0,0.10595393,0.20390362,14000.0,-43.954407,0.06107327
