stats_o/std,stats_g/mean,stats_g/std,train/episode,test/success_rate,epoch,test/mean_Q,train/success_rate,stats_o/mean,test/episode
0.03057898,0.8757715,0.08505116,3140.0,1.0,156,-0.052386202,0.9,0.26276192,3140.0
0.030581707,0.8758106,0.0850553,3160.0,1.0,157,-0.038958453,0.75,0.26277512,3160.0
0.03058289,0.87584734,0.08506456,3180.0,1.0,158,-0.07196455,0.9,0.26278493,3180.0
0.030598193,0.875834,0.08511112,3200.0,1.0,159,-0.09888466,0.65,0.26278076,3200.0
0.03058295,0.87582964,0.08505744,3220.0,1.0,160,-0.051828265,0.75,0.2627803,3220.0
0.030581722,0.87591267,0.0850665,3240.0,1.0,161,-0.051192928,0.75,0.2628026,3240.0
0.03058371,0.8759045,0.085077226,3260.0,1.0,162,-0.07097664,0.75,0.26280138,3260.0
0.030588765,0.87604135,0.08509312,3280.0,1.0,163,-0.07576912,0.9,0.2628388,3280.0
0.030593846,0.87607163,0.08509656,3300.0,1.0,164,-0.07809176,0.65,0.26284823,3300.0
0.030582864,0.8761609,0.085057296,3320.0,1.0,165,-0.07340192,0.75,0.26287404,3320.0
0.03059407,0.87624663,0.085093476,3340.0,1.0,166,-0.08425741,0.75,0.26289973,3340.0
0.030588904,0.876162,0.08508565,3360.0,1.0,167,-0.05766804,0.7,0.2628723,3360.0
0.03057819,0.87614375,0.08506354,3380.0,1.0,168,-0.06364984,0.75,0.26287076,3380.0
0.030586496,0.87616473,0.08509458,3400.0,1.0,169,-0.07157965,0.75,0.26287144,3400.0
0.030596817,0.87620157,0.08512498,3420.0,1.0,170,-0.074169464,0.75,0.26287964,3420.0
0.03059918,0.8762421,0.085134804,3440.0,1.0,171,-0.07933736,0.7,0.26289025,3440.0
0.030593563,0.8762776,0.08510435,3460.0,1.0,172,-0.053461682,0.8,0.26289794,3460.0
0.03060261,0.8761099,0.08515061,3480.0,1.0,173,-0.063378446,0.9,0.2628529,3480.0
0.030601436,0.87616515,0.08514602,3500.0,1.0,174,-0.06553644,0.8,0.2628665,3500.0
0.030596193,0.87620807,0.08512202,3520.0,1.0,175,-0.04223632,0.65,0.26288033,3520.0
0.030607436,0.876204,0.08516738,3540.0,1.0,176,-0.07670434,0.7,0.26288205,3540.0
0.03061474,0.87629944,0.085206576,3560.0,1.0,177,-0.0742747,0.6,0.26290724,3560.0
0.030610088,0.87633365,0.0852016,3580.0,1.0,178,-0.07786381,0.7,0.26291597,3580.0
0.030617014,0.87635595,0.085237056,3600.0,1.0,179,-0.0772898,0.85,0.26292318,3600.0
0.030624658,0.8764513,0.08527297,3620.0,1.0,180,-0.071302816,0.9,0.26294693,3620.0
0.030625168,0.8764774,0.08528128,3640.0,1.0,181,-0.05637715,0.65,0.2629532,3640.0
0.030639803,0.8763898,0.08533432,3660.0,1.0,182,-0.07715458,0.8,0.26292878,3660.0
0.03063243,0.87628347,0.08530104,3680.0,1.0,183,-0.08054473,0.85,0.26290256,3680.0
0.030617138,0.8763048,0.085242726,3700.0,1.0,184,-0.055175312,0.75,0.26290867,3700.0
0.030611565,0.876319,0.085233934,3720.0,1.0,185,-0.038754698,0.8,0.2629144,3720.0
0.0306092,0.876229,0.08522389,3740.0,1.0,186,-0.07452558,0.75,0.26289013,3740.0
0.030610004,0.87623024,0.085226975,3760.0,1.0,187,-0.05662941,0.8,0.26288897,3760.0
0.030592527,0.87624115,0.08516708,3780.0,1.0,188,-0.048671044,0.75,0.26289102,3780.0
0.030609736,0.87637234,0.08521723,3800.0,1.0,189,-0.07999207,0.75,0.2629277,3800.0
0.03060936,0.8763213,0.08521852,3820.0,1.0,190,-0.054815907,0.8,0.26291722,3820.0
0.030597916,0.8763163,0.08517331,3840.0,1.0,191,-0.034465037,0.7,0.26291594,3840.0
0.030584127,0.876318,0.08512946,3860.0,1.0,192,-0.06780099,0.85,0.26291972,3860.0
0.030593852,0.8762605,0.08514685,3880.0,1.0,193,-0.06524779,0.85,0.262904,3880.0
0.03058461,0.87623435,0.0851189,3900.0,1.0,194,-0.06406016,0.7,0.26289868,3900.0
0.030589044,0.87611324,0.085136205,3920.0,1.0,195,-0.07879242,0.85,0.2628612,3920.0
0.030585786,0.8760729,0.08513594,3940.0,1.0,196,-0.053025268,0.8,0.26284578,3940.0
0.030587804,0.876103,0.08514958,3960.0,1.0,197,-0.04559991,0.75,0.26285574,3960.0
0.030581858,0.8760511,0.08511599,3980.0,1.0,198,-0.039508604,0.8,0.26283985,3980.0
0.030584399,0.87608385,0.085120626,4000.0,1.0,199,-0.06337345,0.85,0.26284927,4000.0
0.030587494,0.87597936,0.0851394,4020.0,1.0,200,-0.06981419,0.8,0.26282272,4020.0
0.03059414,0.87607044,0.08515822,4040.0,1.0,201,-0.05874387,0.8,0.26284793,4040.0
0.030591851,0.8759983,0.08514449,4060.0,1.0,202,-0.028502062,0.7,0.26282856,4060.0
0.030588131,0.8760681,0.085127264,4080.0,1.0,203,-0.04332039,0.85,0.26284873,4080.0
0.030597795,0.8760562,0.08516002,4100.0,1.0,204,-0.07486679,0.75,0.26284587,4100.0
0.030590704,0.87608385,0.08514384,4120.0,1.0,205,-0.033372115,0.8,0.26285365,4120.0
0.030587459,0.87615055,0.08513427,4140.0,1.0,206,-0.047037553,0.7,0.26286912,4140.0
0.030587072,0.8761483,0.08513367,4160.0,1.0,207,-0.046883702,0.75,0.26287162,4160.0
0.030578595,0.876162,0.085113056,4180.0,1.0,208,-0.040652722,0.7,0.2628731,4180.0
0.030584186,0.87615067,0.085132,4200.0,1.0,209,-0.068369776,0.9,0.2628706,4200.0
0.030592889,0.8761394,0.08516908,4220.0,1.0,210,-0.07818102,0.85,0.26287004,4220.0
0.03060613,0.8761275,0.08521941,4240.0,1.0,211,-0.06819381,0.75,0.2628663,4240.0
0.030610824,0.87616414,0.08522991,4260.0,1.0,212,-0.07694033,0.6,0.26287624,4260.0
0.030600548,0.8762262,0.08519095,4280.0,1.0,213,-0.021986028,0.9,0.2628952,4280.0
