test/episode,test/mean_Q,epoch,stats_o/mean,stats_g/mean,test/success_rate,stats_o/std,train/episode,stats_g/std,train/success_rate
4460.0,-3.2433152,222,0.20408876,0.8439498,0.8,0.109989606,22300.0,0.09984838,0.62
4480.0,-1.8806856,223,0.20410018,0.8439837,0.85,0.11002315,22400.0,0.099878244,0.6
4500.0,-3.6831806,224,0.20410907,0.8440068,0.75,0.1100356,22500.0,0.09987471,0.53
4520.0,-1.7039776,225,0.20411606,0.8440359,0.95,0.11007303,22600.0,0.09984543,0.56
4540.0,-4.005361,226,0.20412913,0.844071,0.75,0.1101239,22700.0,0.09984607,0.55
4560.0,-3.4601083,227,0.2041419,0.8441028,0.7,0.11011172,22800.0,0.099832095,0.56
4580.0,-2.6563475,228,0.20416388,0.84413314,0.9,0.110113576,22900.0,0.09983315,0.49
4600.0,-1.5703404,229,0.20418642,0.84416384,0.9,0.110096,23000.0,0.09983593,0.56
4620.0,-1.8312107,230,0.2041988,0.84416157,0.9,0.11007773,23100.0,0.09982798,0.53
4640.0,-2.0477111,231,0.20420948,0.8441737,0.85,0.11013175,23200.0,0.099846415,0.51
4660.0,-2.5780714,232,0.20421642,0.8441937,0.8,0.11009127,23300.0,0.09981202,0.6
4680.0,-2.2722373,233,0.20422281,0.84424096,0.8,0.11006495,23400.0,0.09981933,0.54
4700.0,-2.1309505,234,0.20423026,0.84425426,0.85,0.11004076,23500.0,0.099807896,0.64
4720.0,-1.6980076,235,0.20423251,0.84426475,0.9,0.11003056,23600.0,0.09978974,0.53
4740.0,-0.93944883,236,0.20425697,0.8442808,1.0,0.11007354,23700.0,0.09975717,0.58
4760.0,-3.335416,237,0.20427689,0.8442921,0.8,0.11008151,23800.0,0.09974892,0.53
4780.0,-3.250829,238,0.20425472,0.84429246,0.8,0.11008685,23900.0,0.09973502,0.59
4800.0,-3.6712456,239,0.20423551,0.8443094,0.9,0.11006223,24000.0,0.09973791,0.67
4820.0,-2.3003993,240,0.20422754,0.84430677,0.85,0.11004205,24100.0,0.09971425,0.6
4840.0,-1.0006654,241,0.20422883,0.8443382,1.0,0.11007014,24200.0,0.09970359,0.56
4860.0,-2.1354973,242,0.20421763,0.8443299,1.0,0.11003246,24300.0,0.099685155,0.63
4880.0,-3.337183,243,0.20422907,0.84432864,0.9,0.11006067,24400.0,0.09970435,0.66
4900.0,-2.5232053,244,0.20421629,0.8443286,0.85,0.1101054,24500.0,0.09966002,0.63
4920.0,-2.2933495,245,0.20422895,0.84437054,0.85,0.110064544,24600.0,0.0996288,0.6
4940.0,-2.109536,246,0.20423393,0.84437877,0.9,0.110071495,24700.0,0.09964641,0.47
4960.0,-3.0448961,247,0.2042465,0.8444149,0.85,0.11008464,24800.0,0.09966003,0.53
4980.0,-2.049284,248,0.20424534,0.8444045,0.9,0.110040694,24900.0,0.09965906,0.58
5000.0,-1.7675644,249,0.20425893,0.84441346,0.95,0.11004751,25000.0,0.09964577,0.59
5020.0,-0.82282484,250,0.20427138,0.8444291,1.0,0.11001813,25100.0,0.09960578,0.65
5040.0,-3.2915752,251,0.20427787,0.84445876,0.85,0.11001179,25200.0,0.099636346,0.54
5060.0,-1.5959457,252,0.20428869,0.8444652,0.9,0.11005348,25300.0,0.09968436,0.63
