test/success_rate,stats_o/std,stats_o/mean,test/episode,train/episode,epoch,train/success_rate,test/mean_Q,stats_g/mean,stats_g/std
0.55,0.11892114,0.20462511,3920.0,19600.0,195,0.48,-15.862793,0.84510946,0.10604604
0.75,0.11898432,0.20461151,3940.0,19700.0,196,0.42,-9.286253,0.84511536,0.10606677
0.85,0.119074315,0.20458904,3960.0,19800.0,197,0.47,-5.9146967,0.8450866,0.10618662
0.45,0.11907766,0.20460168,3980.0,19900.0,198,0.59,-16.754265,0.84512216,0.10611236
0.6,0.11909504,0.20459631,4000.0,20000.0,199,0.45,-10.466532,0.845114,0.10613497
0.7,0.119169444,0.20458509,4020.0,20100.0,200,0.45,-11.354684,0.8450656,0.10616552
0.6,0.119155414,0.20458847,4040.0,20200.0,201,0.55,-10.526034,0.8450685,0.10622402
0.7,0.119171426,0.20460413,4060.0,20300.0,202,0.46,-7.4377794,0.8450869,0.106184185
0.7,0.11915357,0.20461252,4080.0,20400.0,203,0.45,-5.378808,0.84509826,0.10614892
0.7,0.11917105,0.20459904,4100.0,20500.0,204,0.44,-9.926774,0.84506804,0.10626874
0.7,0.1192138,0.20459343,4120.0,20600.0,205,0.49,-10.931094,0.8450442,0.10634635
0.85,0.1191848,0.20459463,4140.0,20700.0,206,0.5,-5.781859,0.84506464,0.106330395
0.7,0.11920469,0.20458339,4160.0,20800.0,207,0.45,-6.4945717,0.8450467,0.1064345
0.55,0.119206704,0.2045897,4180.0,20900.0,208,0.45,-15.055499,0.8450992,0.10644609
0.75,0.11920491,0.20460373,4200.0,21000.0,209,0.43,-7.4352427,0.84511214,0.10652122
0.75,0.1191814,0.20462343,4220.0,21100.0,210,0.4,-9.492999,0.8451169,0.10652693
0.75,0.11920513,0.20461585,4240.0,21200.0,211,0.52,-9.666835,0.8451163,0.10650513
0.7,0.119259745,0.20460851,4260.0,21300.0,212,0.53,-11.425624,0.8450723,0.106586486
0.55,0.11923845,0.20460911,4280.0,21400.0,213,0.48,-9.330558,0.84511,0.1065891
0.7,0.11923302,0.20460021,4300.0,21500.0,214,0.55,-10.3274145,0.8451404,0.106561035
0.65,0.11921928,0.20459835,4320.0,21600.0,215,0.51,-9.917955,0.8451581,0.10655495
0.75,0.11923681,0.20461796,4340.0,21700.0,216,0.46,-6.6947603,0.8452103,0.10655952
0.55,0.119255275,0.20460069,4360.0,21800.0,217,0.52,-12.685369,0.8452048,0.106562085
0.6,0.119348675,0.2045777,4380.0,21900.0,218,0.53,-8.759154,0.84519416,0.10660148
0.9,0.11940317,0.20456122,4400.0,22000.0,219,0.49,-4.902416,0.8451936,0.10668823
