test/success_rate,train/episode,stats_o/mean,stats_g/std,test/mean_Q,stats_g/mean,test/episode,epoch,train/success_rate,stats_o/std
0.65,13500.0,0.19290695,0.1619878,-11.879684,0.8167383,2700.0,134,0.14,0.09231237
0.45,13600.0,0.19294162,0.1620276,-13.553258,0.81687754,2720.0,135,0.12,0.09248475
0.6,13700.0,0.19294152,0.16198842,-10.432547,0.81700534,2740.0,136,0.16,0.09264608
0.4,13800.0,0.19293651,0.16188653,-12.92144,0.8170964,2760.0,137,0.17,0.0927481
0.7,13900.0,0.19296898,0.16183633,-10.705564,0.8172315,2780.0,138,0.17,0.09280464
0.55,14000.0,0.19301641,0.16168316,-13.51078,0.81734246,2800.0,139,0.19,0.09278324
0.6,14100.0,0.19299528,0.1616618,-12.832762,0.8175495,2820.0,140,0.17,0.092839025
0.55,14200.0,0.19301687,0.16148351,-14.719945,0.81756383,2840.0,141,0.26,0.092764355
0.65,14300.0,0.19301586,0.1615463,-13.125981,0.8176105,2860.0,142,0.21,0.09271407
0.35,14400.0,0.19300479,0.16146334,-16.91822,0.8177299,2880.0,143,0.09,0.09268687
0.35,14500.0,0.19303416,0.16154213,-14.959547,0.817878,2900.0,144,0.14,0.092760354
0.3,14600.0,0.1930295,0.16143969,-18.049429,0.8180012,2920.0,145,0.22,0.092802785
0.6,14700.0,0.19306421,0.16143434,-14.879163,0.8180844,2940.0,146,0.15,0.09275914
0.55,14800.0,0.19307926,0.16143097,-13.364926,0.8182346,2960.0,147,0.19,0.09282306
0.5,14900.0,0.19306158,0.16146085,-16.085903,0.8182554,2980.0,148,0.21,0.092817
0.35,15000.0,0.19307299,0.16135824,-15.274084,0.8183953,3000.0,149,0.17,0.092837155
0.5,15100.0,0.19310087,0.16140534,-14.23837,0.81861514,3020.0,150,0.2,0.0929204
0.45,15200.0,0.19310462,0.16151346,-20.245872,0.8187043,3040.0,151,0.12,0.09295243
0.35,15300.0,0.19310822,0.16166522,-17.634861,0.8187912,3060.0,152,0.15,0.09306535
0.35,15400.0,0.1931094,0.1616985,-15.555115,0.81885296,3080.0,153,0.18,0.09308375
0.6,15500.0,0.19308588,0.16172732,-14.817683,0.81888705,3100.0,154,0.11,0.093112744
0.35,15600.0,0.19310431,0.16158377,-13.232912,0.8190837,3120.0,155,0.11,0.09311257
0.45,15700.0,0.19311838,0.16151777,-17.709263,0.8191042,3140.0,156,0.26,0.09306084
0.3,15800.0,0.19310072,0.16144358,-16.626354,0.819038,3160.0,157,0.19,0.0929861
0.45,15900.0,0.19308804,0.16142388,-11.063245,0.81910723,3180.0,158,0.14,0.09299209
0.35,16000.0,0.19308004,0.1614476,-14.174489,0.8192336,3200.0,159,0.14,0.093074694
0.45,16100.0,0.1930822,0.16142069,-13.961313,0.8193138,3220.0,160,0.12,0.09304354
0.6,16200.0,0.19308907,0.16138943,-14.346674,0.81938124,3240.0,161,0.16,0.09299438
0.5,16300.0,0.19308372,0.16144049,-13.620893,0.8194239,3260.0,162,0.14,0.09300378
0.45,16400.0,0.19306205,0.1613829,-14.845523,0.81945735,3280.0,163,0.19,0.092990085
0.35,16500.0,0.19303186,0.16136411,-16.311367,0.8194885,3300.0,164,0.17,0.09297683
0.45,16600.0,0.19305564,0.16120563,-15.991579,0.81956404,3320.0,165,0.24,0.09294922
0.65,16700.0,0.1930467,0.1611465,-12.522999,0.81965303,3340.0,166,0.12,0.09304019
0.3,16800.0,0.19303578,0.1612011,-14.769615,0.81966496,3360.0,167,0.16,0.09307341
0.35,16900.0,0.19303593,0.16121708,-13.599423,0.8196934,3380.0,168,0.17,0.09309266
0.45,17000.0,0.1930469,0.16113393,-14.0330715,0.819787,3400.0,169,0.14,0.093088254
0.65,17100.0,0.19307375,0.16106509,-11.018839,0.81988865,3420.0,170,0.13,0.09309596
0.45,17200.0,0.1930756,0.16102703,-14.318118,0.81996346,3440.0,171,0.13,0.09307966
0.25,17300.0,0.19306433,0.16102919,-16.466595,0.82003623,3460.0,172,0.12,0.093077585
0.6,17400.0,0.19307633,0.16087025,-10.558907,0.8201328,3480.0,173,0.19,0.09301973
0.4,17500.0,0.19306454,0.16079067,-14.163664,0.820169,3500.0,174,0.27,0.09297057
0.45,17600.0,0.19306727,0.16075367,-12.662503,0.82028913,3520.0,175,0.21,0.092922695
0.75,17700.0,0.19305809,0.16072242,-9.058616,0.82031053,3540.0,176,0.24,0.092879765
0.45,17800.0,0.19303331,0.16065425,-14.925778,0.82030743,3560.0,177,0.1,0.092820905
0.35,17900.0,0.19303676,0.16066514,-13.839073,0.82034564,3580.0,178,0.16,0.09282827
0.45,18000.0,0.19305332,0.16064411,-14.008458,0.82039684,3600.0,179,0.14,0.09280089
0.4,18100.0,0.19304569,0.16085319,-13.839244,0.82043576,3620.0,180,0.21,0.09287017
0.35,18200.0,0.19303882,0.16092032,-16.139843,0.82044965,3640.0,181,0.15,0.09295038
0.4,18300.0,0.19305493,0.16107675,-12.481101,0.8204697,3660.0,182,0.22,0.09300487
0.5,18400.0,0.19303621,0.16134776,-14.66601,0.82047683,3680.0,183,0.15,0.0930989
0.6,18500.0,0.19302055,0.16157971,-13.786324,0.8203892,3700.0,184,0.11,0.09320075
0.55,18600.0,0.19303684,0.16161814,-10.368666,0.82038355,3720.0,185,0.17,0.093179256
0.55,18700.0,0.19303109,0.16187258,-12.150054,0.8203757,3740.0,186,0.11,0.09326959
0.35,18800.0,0.19302061,0.16192622,-15.37932,0.8203947,3760.0,187,0.18,0.09324434
0.45,18900.0,0.19303545,0.16214074,-13.13457,0.82046133,3780.0,188,0.15,0.09329762
0.5,19000.0,0.19303194,0.16215076,-14.179647,0.8204841,3800.0,189,0.16,0.09326608
0.55,19100.0,0.19303778,0.16212675,-12.147638,0.8205773,3820.0,190,0.19,0.09323283
0.6,19200.0,0.1930288,0.16219766,-12.876157,0.82067966,3840.0,191,0.11,0.0932686
0.45,19300.0,0.19300278,0.16223232,-15.319715,0.820661,3860.0,192,0.13,0.09326567
0.55,19400.0,0.19298348,0.16225664,-13.837372,0.8206849,3880.0,193,0.14,0.09323099
0.35,19500.0,0.19298726,0.16228075,-15.308325,0.8207434,3900.0,194,0.14,0.09321956
0.6,19600.0,0.19300583,0.16231634,-13.06793,0.82080907,3920.0,195,0.07,0.09327306
0.5,19700.0,0.19300413,0.16239099,-11.637544,0.82077307,3940.0,196,0.15,0.093383916
0.45,19800.0,0.19302846,0.16246217,-14.340853,0.82077163,3960.0,197,0.09,0.09340415
0.65,19900.0,0.19302312,0.16245179,-9.660084,0.8207936,3980.0,198,0.14,0.09339608
0.4,20000.0,0.19304693,0.16239376,-13.094896,0.8208275,4000.0,199,0.23,0.09335627
0.5,20100.0,0.19303846,0.16241588,-10.711564,0.8208793,4020.0,200,0.16,0.093326
0.35,20200.0,0.19301689,0.16247384,-15.748134,0.8208801,4040.0,201,0.1,0.09334469
0.55,20300.0,0.19301353,0.16255337,-13.614809,0.8208894,4060.0,202,0.21,0.09331285
0.5,20400.0,0.19300188,0.16255695,-13.967222,0.82087326,4080.0,203,0.17,0.09324863
0.45,20500.0,0.19300102,0.1626293,-17.55543,0.82087237,4100.0,204,0.14,0.09323052
0.45,20600.0,0.19300495,0.16255777,-14.223936,0.8209286,4120.0,205,0.24,0.09319306
0.7,20700.0,0.19301665,0.16261348,-11.680098,0.8209176,4140.0,206,0.19,0.09318576
0.45,20800.0,0.19302867,0.16266493,-15.6689,0.8209439,4160.0,207,0.15,0.093231
0.45,20900.0,0.19301781,0.16264671,-18.927217,0.82098347,4180.0,208,0.23,0.09324115
0.5,21000.0,0.19296941,0.16269366,-14.371971,0.82101274,4200.0,209,0.18,0.0933117
0.5,21100.0,0.19295843,0.16271904,-15.309069,0.82103103,4220.0,210,0.17,0.09329774
0.3,21200.0,0.19294679,0.16265993,-18.65495,0.82107663,4240.0,211,0.2,0.09330607
0.5,21300.0,0.19295181,0.16260684,-17.86298,0.82110023,4260.0,212,0.14,0.093263865
0.55,21400.0,0.19295673,0.16261238,-14.704887,0.8212118,4280.0,213,0.2,0.09329243
0.5,21500.0,0.1929665,0.1625319,-15.449222,0.8212862,4300.0,214,0.14,0.09323244
0.6,21600.0,0.19297203,0.1625439,-15.932162,0.82132894,4320.0,215,0.12,0.09324111
0.6,21700.0,0.19297847,0.16257514,-14.858563,0.8213424,4340.0,216,0.13,0.09323183
0.6,21800.0,0.19301018,0.16256602,-15.320247,0.8214583,4360.0,217,0.17,0.09324718
0.35,21900.0,0.19301917,0.16253273,-18.442545,0.821501,4380.0,218,0.19,0.093280494
0.4,22000.0,0.19302694,0.16250803,-14.540006,0.8215837,4400.0,219,0.21,0.093243286
0.55,22100.0,0.1930177,0.16259925,-16.028925,0.8216072,4420.0,220,0.15,0.09328113
0.55,22200.0,0.19300911,0.16263224,-12.607649,0.82162315,4440.0,221,0.15,0.09328872
0.4,22300.0,0.193001,0.162655,-17.053839,0.8216197,4460.0,222,0.25,0.09330859
0.4,22400.0,0.19299442,0.16286549,-16.535852,0.8215994,4480.0,223,0.14,0.09332088
0.65,22500.0,0.19298929,0.16291504,-13.803935,0.8216693,4500.0,224,0.17,0.09336631
0.55,22600.0,0.19297919,0.16289963,-15.393057,0.821701,4520.0,225,0.19,0.09333528
0.6,22700.0,0.19297007,0.16300853,-12.201005,0.8216753,4540.0,226,0.16,0.09338155
0.4,22800.0,0.19295688,0.16306382,-13.148157,0.821687,4560.0,227,0.16,0.093451664
0.55,22900.0,0.19296247,0.16300647,-8.335745,0.8216293,4580.0,228,0.15,0.093561895
0.25,23000.0,0.19291924,0.16311406,-10.7155,0.82149523,4600.0,229,0.08,0.09372718
0.4,23100.0,0.19287354,0.16308264,-10.967824,0.8213318,4620.0,230,0.15,0.09391213
0.2,23200.0,0.19282743,0.16319315,-11.435556,0.82115173,4640.0,231,0.1,0.09417737
0.3,23300.0,0.1927927,0.16326904,-10.819881,0.820965,4660.0,232,0.1,0.09445459
0.2,23400.0,0.19275142,0.16337991,-10.960158,0.8207788,4680.0,233,0.05,0.094616234
0.3,23500.0,0.19272108,0.16333285,-9.877644,0.8207219,4700.0,234,0.08,0.09463267
0.25,23600.0,0.19268711,0.1633841,-10.6638775,0.82060933,4720.0,235,0.13,0.09466687
0.35,23700.0,0.1926553,0.16331382,-12.178942,0.8206036,4740.0,236,0.08,0.09464953
0.35,23800.0,0.19262627,0.16334026,-9.867639,0.8205506,4760.0,237,0.1,0.09461661
0.3,23900.0,0.19260843,0.16338517,-11.94916,0.8204954,4780.0,238,0.11,0.09459093
0.35,24000.0,0.19258624,0.16333836,-11.793623,0.8204209,4800.0,239,0.11,0.094511956
0.45,24100.0,0.19255409,0.16335206,-12.57694,0.8203276,4820.0,240,0.19,0.09450085
0.4,24200.0,0.19253547,0.16338141,-12.637531,0.82034177,4840.0,241,0.18,0.09444982
0.45,24300.0,0.19250235,0.16330555,-12.066838,0.82032806,4860.0,242,0.17,0.094385214
0.3,24400.0,0.19248953,0.16332825,-16.194489,0.820335,4880.0,243,0.2,0.09436515
0.5,24500.0,0.19246025,0.16333112,-13.221128,0.82027036,4900.0,244,0.15,0.094376385
0.4,24600.0,0.19245796,0.16335739,-14.649256,0.8202867,4920.0,245,0.12,0.094357155
0.4,24700.0,0.1924624,0.16331924,-15.750282,0.82028264,4940.0,246,0.17,0.09431277
0.4,24800.0,0.19246712,0.16335009,-13.252177,0.8202484,4960.0,247,0.15,0.09430486
0.7,24900.0,0.1924663,0.16329755,-9.806117,0.8202293,4980.0,248,0.15,0.0942596
0.35,25000.0,0.19247006,0.16325176,-15.617514,0.8202881,5000.0,249,0.18,0.09420672
0.55,25100.0,0.19248396,0.16320163,-13.874133,0.8203547,5020.0,250,0.2,0.09420548
0.2,25200.0,0.1925022,0.16319616,-18.794619,0.82042223,5040.0,251,0.17,0.09418814
0.3,25300.0,0.19249275,0.16313837,-15.714717,0.82046777,5060.0,252,0.18,0.0941581
0.55,25400.0,0.19248945,0.16316576,-12.699473,0.8204697,5080.0,253,0.14,0.09414773
0.65,25500.0,0.19249445,0.16319434,-11.846381,0.820501,5100.0,254,0.18,0.09412804
0.6,25600.0,0.19251975,0.16320024,-13.353093,0.8205388,5120.0,255,0.23,0.09412511
0.7,25700.0,0.19251403,0.16323604,-13.384371,0.8205758,5140.0,256,0.15,0.09412896
0.55,25800.0,0.19251709,0.16329047,-12.136763,0.8206473,5160.0,257,0.17,0.09415051
0.75,25900.0,0.19252607,0.16336523,-10.250455,0.8206524,5180.0,258,0.2,0.094157726
0.75,26000.0,0.19254379,0.16333668,-11.572601,0.82072145,5200.0,259,0.16,0.0941299
0.6,26100.0,0.1925423,0.16335501,-10.934607,0.82068926,5220.0,260,0.16,0.09416518
0.35,26200.0,0.19253457,0.16335662,-12.413461,0.8207454,5240.0,261,0.12,0.094160184
0.4,26300.0,0.19254568,0.16330518,-14.164629,0.8207543,5260.0,262,0.28,0.0941657
0.4,26400.0,0.19254394,0.16326965,-13.401236,0.82079846,5280.0,263,0.16,0.09417998
0.55,26500.0,0.19254784,0.16324003,-11.033069,0.8208921,5300.0,264,0.21,0.09420699
0.4,26600.0,0.19255489,0.16319959,-12.482804,0.82098025,5320.0,265,0.21,0.094205275
0.5,26700.0,0.19256805,0.16314001,-14.946032,0.821004,5340.0,266,0.26,0.0942034
0.35,26800.0,0.19257492,0.16310559,-11.989817,0.82101387,5360.0,267,0.16,0.09418819
0.65,26900.0,0.19258845,0.16313525,-13.3799515,0.82102185,5380.0,268,0.14,0.094162405
0.7,27000.0,0.19257554,0.16319035,-12.500293,0.82102376,5400.0,269,0.17,0.09419618
0.7,27100.0,0.19258146,0.16319811,-10.737303,0.8210408,5420.0,270,0.19,0.094181016
0.75,27200.0,0.19259234,0.16327508,-10.712281,0.82109493,5440.0,271,0.13,0.094208136
0.5,27300.0,0.19259883,0.1632157,-12.954854,0.8211511,5460.0,272,0.19,0.09420003
0.5,27400.0,0.19260024,0.1631972,-12.378168,0.82119006,5480.0,273,0.17,0.09416999
0.45,27500.0,0.19261406,0.16322125,-10.535569,0.8212369,5500.0,274,0.15,0.09415386
0.35,27600.0,0.19261372,0.1632608,-16.84711,0.82130533,5520.0,275,0.11,0.0941379
