train/success_rate,test/mean_Q,test/success_rate,epoch,stats_g/mean,stats_g/std,stats_o/std,train/episode,stats_o/mean,test/episode
0.91,-2.4182692,0.95,146,0.8376553,0.07683905,0.10398917,14700.0,0.20157704,2940.0
0.92,-2.0041876,0.95,147,0.8376991,0.07681211,0.10422001,14800.0,0.20160043,2960.0
0.9,-1.6360306,1.0,148,0.8377037,0.07677729,0.10448279,14900.0,0.20160463,2980.0
0.92,-2.0572882,0.9,149,0.83769435,0.07671453,0.10457893,15000.0,0.20163666,3000.0
0.94,-1.5294586,1.0,150,0.8376933,0.07666783,0.104666434,15100.0,0.20165306,3020.0
0.9,-1.4697033,0.95,151,0.83777016,0.07660226,0.104872085,15200.0,0.20165016,3040.0
0.97,-1.7405002,0.95,152,0.8377641,0.07656115,0.104962654,15300.0,0.20163727,3060.0
0.92,-1.1496861,1.0,153,0.8377549,0.07650358,0.10507755,15400.0,0.20165648,3080.0
0.87,-1.3676693,1.0,154,0.837764,0.07657288,0.1052283,15500.0,0.20162483,3100.0
0.94,-1.2275265,1.0,155,0.83781266,0.07650321,0.10535346,15600.0,0.2016136,3120.0
0.93,-1.5792668,1.0,156,0.83780503,0.07645374,0.10539863,15700.0,0.2015744,3140.0
0.94,-1.1627865,1.0,157,0.8378146,0.07642023,0.105533466,15800.0,0.20161408,3160.0
0.94,-1.2391059,1.0,158,0.8378105,0.07638916,0.10565569,15900.0,0.20157059,3180.0
0.93,-1.6015984,0.95,159,0.83782476,0.07631252,0.105701014,16000.0,0.20157188,3200.0
0.93,-1.1776662,1.0,160,0.8378225,0.076311104,0.10576646,16100.0,0.20157304,3220.0
0.94,-1.1457306,1.0,161,0.83784264,0.07625725,0.105920784,16200.0,0.20159192,3240.0
0.92,-1.9516602,0.95,162,0.8378548,0.076175876,0.106071085,16300.0,0.20159492,3260.0
0.95,-0.92101586,1.0,163,0.8378501,0.07615443,0.10624032,16400.0,0.20161058,3280.0
0.98,-2.4738996,0.95,164,0.83787316,0.0760887,0.10635301,16500.0,0.20162575,3300.0
0.94,-1.2113415,1.0,165,0.8378901,0.076043144,0.106515095,16600.0,0.20160253,3320.0
0.92,-1.38484,1.0,166,0.8378821,0.07602925,0.106721506,16700.0,0.20158279,3340.0
0.95,-4.058419,0.9,167,0.83794713,0.07598314,0.10684113,16800.0,0.20156628,3360.0
0.92,-1.4419901,1.0,168,0.8379343,0.07603079,0.10695678,16900.0,0.20155197,3380.0
0.95,-1.3296131,0.95,169,0.837941,0.07596087,0.107048444,17000.0,0.20153528,3400.0
0.96,-1.3690063,1.0,170,0.8379181,0.07592102,0.10713417,17100.0,0.20154348,3420.0
0.96,-1.2747719,1.0,171,0.83795744,0.07591625,0.10717324,17200.0,0.20154369,3440.0
0.96,-1.1483877,1.0,172,0.83795434,0.07588931,0.10727105,17300.0,0.20155136,3460.0
0.95,-0.9752585,1.0,173,0.8379528,0.07585256,0.10731789,17400.0,0.20154464,3480.0
0.94,-1.749533,0.95,174,0.83796746,0.075859465,0.10742137,17500.0,0.2015625,3500.0
0.92,-1.0924213,1.0,175,0.8379681,0.07585957,0.107494324,17600.0,0.20156112,3520.0
0.93,-1.287077,1.0,176,0.83803517,0.07582699,0.107588574,17700.0,0.20155677,3540.0
0.95,-1.0291945,1.0,177,0.83804125,0.07576776,0.107709475,17800.0,0.2015706,3560.0
0.94,-1.9486783,0.95,178,0.83805466,0.075715125,0.10773045,17900.0,0.2015703,3580.0
0.93,-1.2390215,1.0,179,0.8380452,0.07568481,0.10779624,18000.0,0.20156479,3600.0
0.96,-1.2213528,1.0,180,0.83803576,0.07565275,0.107913695,18100.0,0.20157337,3620.0
0.96,-1.3112037,0.95,181,0.8380363,0.07567371,0.10798336,18200.0,0.20160933,3640.0
0.96,-2.249548,0.95,182,0.83800393,0.07559175,0.10806575,18300.0,0.20158178,3660.0
0.93,-0.90592754,1.0,183,0.8380653,0.075524874,0.10811431,18400.0,0.20159274,3680.0
0.96,-1.1432405,1.0,184,0.8380372,0.07545569,0.10810402,18500.0,0.20154898,3700.0
0.94,-1.2720976,1.0,185,0.8380595,0.07539343,0.10819153,18600.0,0.20155363,3720.0
0.94,-1.0724756,1.0,186,0.8380227,0.07536239,0.10824722,18700.0,0.2015479,3740.0
0.93,-1.3257403,1.0,187,0.8380766,0.075325325,0.10832017,18800.0,0.20157488,3760.0
0.96,-1.4941986,1.0,188,0.83807856,0.07526774,0.10840682,18900.0,0.20158191,3780.0
0.97,-1.3154707,1.0,189,0.8380463,0.07522492,0.10844128,19000.0,0.20157601,3800.0
0.97,-2.1134305,0.95,190,0.8380479,0.07516895,0.10851938,19100.0,0.20159552,3820.0
0.96,-1.425476,1.0,191,0.8380293,0.07517246,0.10861871,19200.0,0.20158209,3840.0
0.98,-1.1419069,1.0,192,0.83804256,0.07512281,0.108699754,19300.0,0.20159058,3860.0
0.92,-1.0434791,1.0,193,0.8380215,0.07510189,0.10874238,19400.0,0.20158446,3880.0
0.96,-1.5332867,1.0,194,0.838008,0.07503762,0.108759336,19500.0,0.20159374,3900.0
0.95,-1.2681631,1.0,195,0.83800983,0.07500083,0.10882224,19600.0,0.20160574,3920.0
0.93,-1.5874549,0.95,196,0.8379888,0.07496434,0.10886788,19700.0,0.20158808,3940.0
0.96,-1.1694865,1.0,197,0.83798856,0.074914224,0.10905709,19800.0,0.20159034,3960.0
0.96,-1.3252625,0.9,198,0.83799237,0.07485489,0.109097436,19900.0,0.20158194,3980.0
0.94,-1.114225,1.0,199,0.8380082,0.07479327,0.10911758,20000.0,0.20154494,4000.0
0.9,-2.9825082,0.95,200,0.83797413,0.07475766,0.10919337,20100.0,0.20151581,4020.0
0.94,-1.226437,1.0,201,0.83797216,0.074738,0.10927743,20200.0,0.20154075,4040.0
0.95,-1.3675439,1.0,202,0.83796877,0.07470136,0.10928277,20300.0,0.2015522,4060.0
0.95,-1.2675521,0.95,203,0.8379708,0.07464983,0.10933433,20400.0,0.20155464,4080.0
0.94,-1.2572306,1.0,204,0.8379822,0.074609205,0.109343424,20500.0,0.20157664,4100.0
0.93,-1.0662229,1.0,205,0.8379949,0.07458854,0.10929647,20600.0,0.20156057,4120.0
0.95,-1.2510955,1.0,206,0.8379979,0.074558675,0.10928778,20700.0,0.2015665,4140.0
0.95,-1.0819973,1.0,207,0.8379953,0.07450918,0.10932776,20800.0,0.20157918,4160.0
0.91,-1.0070589,1.0,208,0.83802104,0.0745031,0.1094209,20900.0,0.20158412,4180.0
1.0,-1.9192209,0.95,209,0.83802706,0.07445612,0.10936246,21000.0,0.20155625,4200.0
0.95,-0.9116222,1.0,210,0.83805007,0.07439784,0.109362364,21100.0,0.20156063,4220.0
0.91,-1.4200684,0.95,211,0.8380129,0.074453205,0.10943596,21200.0,0.20158026,4240.0
0.93,-1.1018993,0.95,212,0.8380243,0.07449145,0.10950088,21300.0,0.2015696,4260.0
0.98,-1.3146533,1.0,213,0.83803105,0.07447227,0.10954257,21400.0,0.20155239,4280.0
0.95,-1.4659588,1.0,214,0.8380428,0.07441573,0.10960218,21500.0,0.20152202,4300.0
0.96,-1.1485796,1.0,215,0.8380467,0.07440156,0.10961761,21600.0,0.20152052,4320.0
0.96,-1.14415,1.0,216,0.8380324,0.0744055,0.10959943,21700.0,0.20152861,4340.0
0.92,-1.0681182,1.0,217,0.8380427,0.074403875,0.10963091,21800.0,0.20155218,4360.0
0.95,-0.9013885,1.0,218,0.83805376,0.07437117,0.109700955,21900.0,0.2015404,4380.0
0.95,-1.0194689,1.0,219,0.83805084,0.07438643,0.10972459,22000.0,0.20155163,4400.0
0.91,-1.1945856,1.0,220,0.83806294,0.07435506,0.109787434,22100.0,0.20155503,4420.0
0.97,-1.1346294,1.0,221,0.8380608,0.07433456,0.10974557,22200.0,0.2015541,4440.0
0.94,-1.2203498,1.0,222,0.8380599,0.07432316,0.10977998,22300.0,0.20154701,4460.0
0.97,-1.1993525,1.0,223,0.8380582,0.07428909,0.10982766,22400.0,0.20157835,4480.0
0.97,-1.2196038,1.0,224,0.83805776,0.07422773,0.10981273,22500.0,0.20159769,4500.0
0.9,-1.3534656,1.0,225,0.83804935,0.07421739,0.109874666,22600.0,0.20162533,4520.0
0.96,-1.2526095,1.0,226,0.83806485,0.07427396,0.109979115,22700.0,0.20162657,4540.0
0.98,-1.2869667,0.95,227,0.83805853,0.074220896,0.10998717,22800.0,0.20162629,4560.0
0.95,-1.2363714,1.0,228,0.8380506,0.074240886,0.11010185,22900.0,0.2015985,4580.0
0.97,-1.037938,1.0,229,0.8380465,0.07424349,0.11011512,23000.0,0.2016099,4600.0
0.9,-1.1094518,1.0,230,0.8380494,0.07419804,0.11016242,23100.0,0.20160459,4620.0
0.97,-1.0495455,1.0,231,0.8380792,0.07415747,0.11015874,23200.0,0.20160756,4640.0
0.95,-1.303029,1.0,232,0.8380668,0.07414261,0.11020959,23300.0,0.2015981,4660.0
0.97,-1.4997267,1.0,233,0.8380688,0.07412224,0.110252336,23400.0,0.20158187,4680.0
0.91,-1.0828273,1.0,234,0.838077,0.07414106,0.11028442,23500.0,0.20159449,4700.0
0.94,-1.3306692,1.0,235,0.8380413,0.07412648,0.11038361,23600.0,0.2015993,4720.0
0.95,-1.4231622,1.0,236,0.8380429,0.07408322,0.11043689,23700.0,0.2016243,4740.0
0.95,-0.97471917,1.0,237,0.83803654,0.07404391,0.11045136,23800.0,0.20165336,4760.0
0.96,-1.2226464,1.0,238,0.838062,0.074005544,0.11046414,23900.0,0.20168251,4780.0
0.95,-0.96788675,1.0,239,0.8380738,0.07396726,0.11046734,24000.0,0.20168912,4800.0
0.97,-0.96896935,1.0,240,0.8380404,0.073931456,0.11050048,24100.0,0.20170632,4820.0
0.94,-0.86874044,1.0,241,0.8380758,0.07389704,0.11054534,24200.0,0.20169926,4840.0
0.94,-0.85665053,1.0,242,0.8381036,0.073895805,0.11052553,24300.0,0.20171,4860.0
0.96,-1.2380562,1.0,243,0.83810616,0.073882915,0.11056264,24400.0,0.20170864,4880.0
0.96,-0.9638408,1.0,244,0.8381143,0.073838,0.11055717,24500.0,0.20171385,4900.0
0.94,-1.1449836,1.0,245,0.8381098,0.073826246,0.110603705,24600.0,0.20172945,4920.0
0.98,-1.2777885,0.95,246,0.8381018,0.07384338,0.11065382,24700.0,0.20172097,4940.0
0.94,-0.9600197,1.0,247,0.8380942,0.0738337,0.11064842,24800.0,0.20173794,4960.0
0.95,-1.0509074,0.95,248,0.83809644,0.073796205,0.11066872,24900.0,0.20177002,4980.0
0.94,-1.1249993,1.0,249,0.83808774,0.07375846,0.110736586,25000.0,0.20176177,5000.0
0.94,-1.1458437,1.0,250,0.83810925,0.07380408,0.11081559,25100.0,0.20177555,5020.0
0.95,-1.2379173,1.0,251,0.8381209,0.07377661,0.11079047,25200.0,0.20177418,5040.0
0.96,-1.1478642,1.0,252,0.838119,0.07383654,0.11081191,25300.0,0.20177896,5060.0
0.96,-1.1676373,1.0,253,0.8381111,0.0738015,0.11083703,25400.0,0.20178293,5080.0
0.97,-0.94409716,1.0,254,0.8381235,0.073784135,0.11089011,25500.0,0.20178694,5100.0
0.94,-1.1177862,1.0,255,0.8381402,0.073754825,0.1109186,25600.0,0.20177172,5120.0
0.96,-1.034136,1.0,256,0.8381503,0.07373232,0.110972814,25700.0,0.20179941,5140.0
0.92,-2.4782078,0.95,257,0.8381583,0.0736935,0.11100561,25800.0,0.20182131,5160.0
0.98,-0.8224495,1.0,258,0.83814454,0.073645905,0.11105132,25900.0,0.20181756,5180.0
0.94,-1.2171447,1.0,259,0.8381799,0.07364643,0.1110799,26000.0,0.20183668,5200.0
0.91,-1.147515,1.0,260,0.8381772,0.073643304,0.111133024,26100.0,0.20185727,5220.0
